adjustment_type,instrument_id,pnl_change,quantity_change,reason,ts_event
FUNDING,BTCUSDT-PERP.BINANCE,-1.18315753 USDT,,funding_settlement:fa2e6394-8e30-4abe-af81-9ed016204421,1612771200001000000
FUNDING,BTCUSDT-PERP.BINANCE,-5.66749749 USDT,,funding_settlement:42f05fff-fdd6-42e2-825b-4fd02ab062ce,1612800000000000000
FUNDING,BTCUSDT-PERP.BINANCE,-3.16484291 USDT,,funding_settlement:f624947f-1ad5-4987-9880-aa25e9d9dd8a,1612828800010000000
FUNDING,BTCUSDT-PERP.BINANCE,-4.62040777 USDT,,funding_settlement:9c49908d-7de6-4569-98eb-33418c788f40,1612857600006000000
FUNDING,BTCUSDT-PERP.BINANCE,-3.92675978 USDT,,funding_settlement:eec97677-fa57-43ba-9405-5a96e7f20d0a,1612886400007000000
FUNDING,BTCUSDT-PERP.BINANCE,-3.00689860 USDT,,funding_settlement:0254a243-1c5a-49e0-955c-5b5771a68bc1,1612915200009000000
FUNDING,BTCUSDT-PERP.BINANCE,-4.25602012 USDT,,funding_settlement:fd19f76e-ecf4-411a-86e0-30bffea4d753,1612944000014000000
FUNDING,BTCUSDT-PERP.BINANCE,-2.59290325 USDT,,funding_settlement:b97dea94-ae85-4bcc-bf52-7ef1770bd375,1612972800005000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.79035277 USDT,,funding_settlement:6ed0749f-1d35-4e4d-95b6-2fd0a2c4bae8,1613001600000000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.93347821 USDT,,funding_settlement:c17b30f2-eafa-473f-96c1-e81eb85cfdac,1613030400000000000
FUNDING,BTCUSDT-PERP.BINANCE,-4.35289792 USDT,,funding_settlement:e33bd61f-abdc-486a-b997-05c8c37bf22e,1613059200000000000
FUNDING,BTCUSDT-PERP.BINANCE,-3.21890144 USDT,,funding_settlement:f5db799f-c4d3-4f08-a710-5f811e9ad5d5,1613088000000000000
FUNDING,BTCUSDT-PERP.BINANCE,-3.09602260 USDT,,funding_settlement:2f0cbe3c-e9fa-4117-92fd-d256203cd2e7,1613116800000000000
FUNDING,BTCUSDT-PERP.BINANCE,-2.58274353 USDT,,funding_settlement:8a668406-2c2e-4273-a94e-520409bc9553,1613145600000000000
FUNDING,BTCUSDT-PERP.BINANCE,-3.44927576 USDT,,funding_settlement:e4324ed5-e8c7-4cf0-87b9-cdb7a5b89d68,1613174400001000000
FUNDING,BTCUSDT-PERP.BINANCE,-3.46415882 USDT,,funding_settlement:7006a5ae-cce1-4d0f-8630-5a786780d010,1613203200003000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.86126525 USDT,,funding_settlement:21ec4644-31aa-4a2b-a496-ac024c4df954,1613232000000000000
FUNDING,BTCUSDT-PERP.BINANCE,-2.08837470 USDT,,funding_settlement:a0584f11-e356-4b25-b810-f16cb9fe5e87,1613260800013000000
FUNDING,BTCUSDT-PERP.BINANCE,-3.71155584 USDT,,funding_settlement:b2d5484c-24c9-4693-9dd9-488fbbc058b1,1613289600000000000
FUNDING,BTCUSDT-PERP.BINANCE,-3.78135744 USDT,,funding_settlement:fb95b3a5-23e0-42ad-ab8a-0464ea3ec63a,1613318400008000000
FUNDING,BTCUSDT-PERP.BINANCE,-2.98298755 USDT,,funding_settlement:4166b995-c8a0-4232-9b1e-91f5597061a1,1613347200000000000
FUNDING,BTCUSDT-PERP.BINANCE,-0.76829509 USDT,,funding_settlement:5dbcb11d-9679-4fb7-b12a-0c3d37a4828b,1613376000006000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.30801979 USDT,,funding_settlement:3ac6de93-7558-477f-9a99-599852b7abc2,1613404800000000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.91153993 USDT,,funding_settlement:b25953bb-b5e8-4c37-9399-e17267789401,1613433600001000000
FUNDING,BTCUSDT-PERP.BINANCE,-2.43229458 USDT,,funding_settlement:328ed17d-ca77-482d-8b9f-84a9ce171fc9,1613462400000000000
FUNDING,BTCUSDT-PERP.BINANCE,-2.78156550 USDT,,funding_settlement:7c496ddb-2e73-4d88-8fb3-fa0f515481a6,1613491200010000000
FUNDING,BTCUSDT-PERP.BINANCE,-2.04892467 USDT,,funding_settlement:1aeb728b-c554-45f3-90b9-e6bd1b70455e,1613520000005000000
