adjustment_type,instrument_id,pnl_change,quantity_change,reason,ts_event
FUNDING,BTCUSDT-PERP.BINANCE,-1.18315753 USDT,,funding_settlement:f8bc5f21-29dd-4aca-a231-ac2e0d1dea3c,1612771200001000000
FUNDING,BTCUSDT-PERP.BINANCE,-5.66749749 USDT,,funding_settlement:5f8e985e-c895-4dda-8473-3c16dbbfddf0,1612800000000000000
FUNDING,BTCUSDT-PERP.BINANCE,-3.16484291 USDT,,funding_settlement:cf9c99c7-5f3a-4fcd-b740-9cee32fd97f5,1612828800010000000
FUNDING,BTCUSDT-PERP.BINANCE,-4.62040777 USDT,,funding_settlement:9148e853-bb17-47fb-a09c-da35ecafc2a9,1612857600006000000
FUNDING,BTCUSDT-PERP.BINANCE,-3.92675978 USDT,,funding_settlement:2b4f4e39-4380-4de2-8ea2-4b8246794092,1612886400007000000
FUNDING,BTCUSDT-PERP.BINANCE,-3.00689860 USDT,,funding_settlement:6ae73aa3-1cab-49b9-9097-66431b81c14f,1612915200009000000
FUNDING,BTCUSDT-PERP.BINANCE,-4.25602012 USDT,,funding_settlement:0f0c5151-8b9d-45f4-a567-a9dfb927d2eb,1612944000014000000
FUNDING,BTCUSDT-PERP.BINANCE,-2.59290325 USDT,,funding_settlement:419c2d0e-32f7-4fb3-8ddd-f03bba659be6,1612972800005000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.79035277 USDT,,funding_settlement:75a044d2-874d-4451-973b-420f900d4ed3,1613001600000000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.93347821 USDT,,funding_settlement:eabb973c-f323-4a20-9c90-e9e1b695d7a5,1613030400000000000
FUNDING,BTCUSDT-PERP.BINANCE,-4.35289792 USDT,,funding_settlement:11862eb6-2676-47db-b6b5-1a0586c71d6e,1613059200000000000
FUNDING,BTCUSDT-PERP.BINANCE,-3.21890144 USDT,,funding_settlement:e960d4e6-a440-4e57-9778-4fd608b198b2,1613088000000000000
FUNDING,BTCUSDT-PERP.BINANCE,-3.09602260 USDT,,funding_settlement:d238afc7-b68f-44d2-944a-5cb4ab8f04ee,1613116800000000000
FUNDING,BTCUSDT-PERP.BINANCE,-2.58274353 USDT,,funding_settlement:0813bb3d-9ff7-4200-b147-8ab1395a2bd7,1613145600000000000
FUNDING,BTCUSDT-PERP.BINANCE,-3.44927576 USDT,,funding_settlement:f7bc6331-42b3-4122-b929-c5d691f546a5,1613174400001000000
FUNDING,BTCUSDT-PERP.BINANCE,-3.46415882 USDT,,funding_settlement:c48981a0-dec9-4840-bf77-ca2bb213f843,1613203200003000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.86126525 USDT,,funding_settlement:c0023b02-b526-4d1e-80fc-eb75d7efa43a,1613232000000000000
FUNDING,BTCUSDT-PERP.BINANCE,-2.08837470 USDT,,funding_settlement:eb1867fb-3fad-4a0e-b800-51a4a4f5e8ef,1613260800013000000
FUNDING,BTCUSDT-PERP.BINANCE,-3.71155584 USDT,,funding_settlement:5ac380a9-37d5-406f-b4ea-417f3200a964,1613289600000000000
FUNDING,BTCUSDT-PERP.BINANCE,-3.78135744 USDT,,funding_settlement:21cf53b3-0e90-4e0c-a153-3ac415f4f270,1613318400008000000
FUNDING,BTCUSDT-PERP.BINANCE,-2.98298755 USDT,,funding_settlement:418a615b-f7d4-463d-b309-a5b543f07c81,1613347200000000000
FUNDING,BTCUSDT-PERP.BINANCE,-0.76829509 USDT,,funding_settlement:f1d981bd-865c-4c62-acd2-6a28237ac577,1613376000006000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.30801979 USDT,,funding_settlement:340b54e7-60b8-41dd-9b04-df70a14b66f9,1613404800000000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.91153993 USDT,,funding_settlement:447c90ef-337c-406f-b976-e5496c728414,1613433600001000000
FUNDING,BTCUSDT-PERP.BINANCE,-2.43229458 USDT,,funding_settlement:262eda33-fbec-41b0-8096-c2da11934ae7,1613462400000000000
FUNDING,BTCUSDT-PERP.BINANCE,-2.78156550 USDT,,funding_settlement:d3dd64b2-4b8d-4247-8951-d7b217157a11,1613491200010000000
FUNDING,BTCUSDT-PERP.BINANCE,-2.04892467 USDT,,funding_settlement:a30ea5e1-8368-41ab-b856-b4ff0d6f81e6,1613520000005000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.91274966 USDT,,funding_settlement:9616586b-b543-486e-84bf-37f7d2999bc5,1613548800010000000
FUNDING,BTCUSDT-PERP.BINANCE,-3.01409715 USDT,,funding_settlement:ff3a1d8c-36f6-41c7-bd86-5ffd4a168019,1613577600008000000
FUNDING,BTCUSDT-PERP.BINANCE,-2.76107399 USDT,,funding_settlement:79f57aee-83cf-4aff-bf57-c910eb4b0dc9,1613606400012000000
FUNDING,BTCUSDT-PERP.BINANCE,-3.21039489 USDT,,funding_settlement:a4edbdba-600e-4608-a9ed-6474eb94194f,1613635200000000000
FUNDING,BTCUSDT-PERP.BINANCE,-2.60029557 USDT,,funding_settlement:381e2834-ace5-4fcd-b4aa-20705ed960f8,1613664000009000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.88387443 USDT,,funding_settlement:d799bcc3-1533-4a2c-9319-23dc681ce385,1613692800010000000
