adjustment_type,instrument_id,pnl_change,quantity_change,reason,ts_event
FUNDING,BTCUSDT-PERP.BINANCE,-5.84752858 USDT,,funding_settlement:5590ae00-dad0-4d46-a00e-07dafb5648a7,1612771200001000000
FUNDING,BTCUSDT-PERP.BINANCE,-28.01051646 USDT,,funding_settlement:53ad7185-2541-47bd-a6b1-5538fd309bbc,1612800000000000000
FUNDING,BTCUSDT-PERP.BINANCE,-15.64162747 USDT,,funding_settlement:3613ac30-4b73-4c4e-8b6a-4cb28490d829,1612828800010000000
FUNDING,BTCUSDT-PERP.BINANCE,-22.83547684 USDT,,funding_settlement:1354803f-9072-4ebe-887e-5c9549bfbad0,1612857600006000000
FUNDING,BTCUSDT-PERP.BINANCE,-19.40725504 USDT,,funding_settlement:a1f12158-fbc5-473c-9a8e-43e0203f854b,1612886400007000000
FUNDING,BTCUSDT-PERP.BINANCE,-14.86101807 USDT,,funding_settlement:d7445554-f17a-483a-8515-83d711b58509,1612915200009000000
FUNDING,BTCUSDT-PERP.BINANCE,-21.03456096 USDT,,funding_settlement:0719a528-473f-462d-aebe-638b6bd927c5,1612944000014000000
FUNDING,BTCUSDT-PERP.BINANCE,-12.81492569 USDT,,funding_settlement:ffbede9c-e1ab-46fb-898a-f75ecdd9cd78,1612972800005000000
FUNDING,BTCUSDT-PERP.BINANCE,-8.84847424 USDT,,funding_settlement:7ffbf8d7-14aa-4e1e-bab9-2a3007afafb1,1613001600000000000
FUNDING,BTCUSDT-PERP.BINANCE,-9.55584424 USDT,,funding_settlement:dfe31a70-5b11-4d4a-b462-0c8172ed135f,1613030400000000000
FUNDING,BTCUSDT-PERP.BINANCE,-21.51336086 USDT,,funding_settlement:010cf994-85a5-4d66-9a1c-3f2e0a09a78a,1613059200000000000
FUNDING,BTCUSDT-PERP.BINANCE,-15.90880133 USDT,,funding_settlement:a8124318-aeb1-45eb-8cc7-6a56f51af09d,1613088000000000000
FUNDING,BTCUSDT-PERP.BINANCE,-15.30149633 USDT,,funding_settlement:96670bb2-6d67-4bf2-bce4-6121b6066954,1613116800000000000
FUNDING,BTCUSDT-PERP.BINANCE,-12.76471322 USDT,,funding_settlement:43652281-90ab-478a-a460-c5987a0452de,1613145600000000000
FUNDING,BTCUSDT-PERP.BINANCE,-17.04738213 USDT,,funding_settlement:f7bdf813-d92f-4add-906b-b363e223e7f3,1613174400001000000
FUNDING,BTCUSDT-PERP.BINANCE,-17.12093878 USDT,,funding_settlement:6f4276c0-c778-4334-be01-fc09025a99cd,1613203200003000000
FUNDING,BTCUSDT-PERP.BINANCE,-9.19894555 USDT,,funding_settlement:8910ad5e-d453-4755-a4a3-09fbe5195225,1613232000000000000
FUNDING,BTCUSDT-PERP.BINANCE,-10.32139033 USDT,,funding_settlement:33863601-411a-4b4b-8a5a-ca9bb984377e,1613260800013000000
FUNDING,BTCUSDT-PERP.BINANCE,-18.34365098 USDT,,funding_settlement:69b5dede-550f-445f-9ac8-cb36714ffca7,1613289600000000000
FUNDING,BTCUSDT-PERP.BINANCE,-18.68863196 USDT,,funding_settlement:76ce0a55-dc85-4292-911d-6cc3e30ee887,1613318400008000000
FUNDING,BTCUSDT-PERP.BINANCE,-14.74284230 USDT,,funding_settlement:c813f669-0a3d-4e04-b5be-c2a33a2b6f1f,1613347200000000000
FUNDING,BTCUSDT-PERP.BINANCE,-4.80184430 USDT,,funding_settlement:018c408b-fae5-4a4b-85fa-035266f5335c,1613376000006000000
FUNDING,BTCUSDT-PERP.BINANCE,-8.17512367 USDT,,funding_settlement:e6198691-fc90-4c07-8522-8952cb88cb61,1613404800000000000
FUNDING,BTCUSDT-PERP.BINANCE,-11.94712458 USDT,,funding_settlement:d5737876-efce-4c18-a5a6-043d358a323a,1613433600001000000
FUNDING,BTCUSDT-PERP.BINANCE,-15.20184112 USDT,,funding_settlement:4a5349ef-a613-40b4-9417-071e98fe7fc4,1613462400000000000
FUNDING,BTCUSDT-PERP.BINANCE,-17.38478435 USDT,,funding_settlement:776552d1-bac8-4d05-9289-6cabe594a6b5,1613491200010000000
FUNDING,BTCUSDT-PERP.BINANCE,-12.80577919 USDT,,funding_settlement:3a874a6d-5f2a-4b2a-9e59-50a6a7e0d3fb,1613520000005000000
