adjustment_type,instrument_id,pnl_change,quantity_change,reason,ts_event
FUNDING,BTCUSDT-PERP.BINANCE,-1.18315753 USDT,,funding_settlement:37dbda37-0798-417b-9d86-bb6544a11546,1612771200001000000
FUNDING,BTCUSDT-PERP.BINANCE,-5.66749749 USDT,,funding_settlement:3f40e10f-96ba-4658-99c5-d22a357c93cf,1612800000000000000
FUNDING,BTCUSDT-PERP.BINANCE,-3.16484291 USDT,,funding_settlement:ecaee4aa-6495-43af-8104-a74e686973e0,1612828800010000000
FUNDING,BTCUSDT-PERP.BINANCE,-4.62040777 USDT,,funding_settlement:e2713b69-7b61-4f23-917f-df0a48daa599,1612857600006000000
FUNDING,BTCUSDT-PERP.BINANCE,-3.92675978 USDT,,funding_settlement:ae4200fc-fc95-4454-9a12-4555bc71983b,1612886400007000000
FUNDING,BTCUSDT-PERP.BINANCE,-3.00689860 USDT,,funding_settlement:778664f0-21a5-41ce-84d9-79482a711269,1612915200009000000
FUNDING,BTCUSDT-PERP.BINANCE,-4.25602012 USDT,,funding_settlement:914cb909-0ecd-4cbb-b57d-3adb81c548c3,1612944000014000000
FUNDING,BTCUSDT-PERP.BINANCE,-2.59290325 USDT,,funding_settlement:e85f1402-b907-4a22-9a86-94d7b0a80424,1612972800005000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.79035277 USDT,,funding_settlement:09a8e06f-7edd-4996-b5eb-1c5cee2ca92a,1613001600000000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.93347821 USDT,,funding_settlement:3722221e-c221-4d0c-851b-c67187156d40,1613030400000000000
FUNDING,BTCUSDT-PERP.BINANCE,-4.35289792 USDT,,funding_settlement:e6be069a-f5ce-4edf-b143-d30ea75a9cb1,1613059200000000000
FUNDING,BTCUSDT-PERP.BINANCE,-3.21890144 USDT,,funding_settlement:1860e911-f9a5-46d9-8dac-1925c9e1e003,1613088000000000000
FUNDING,BTCUSDT-PERP.BINANCE,-3.09602260 USDT,,funding_settlement:a4c6ae04-2845-484d-a942-77a299992d2c,1613116800000000000
FUNDING,BTCUSDT-PERP.BINANCE,-2.58274353 USDT,,funding_settlement:dac9021d-5646-44c1-9e8b-9f0615816ab9,1613145600000000000
FUNDING,BTCUSDT-PERP.BINANCE,-3.44927576 USDT,,funding_settlement:7f95343f-bd76-4457-bfe0-62004ca00e81,1613174400001000000
FUNDING,BTCUSDT-PERP.BINANCE,-3.46415882 USDT,,funding_settlement:ca13632a-517a-42a1-be7d-3f312ba9d060,1613203200003000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.86126525 USDT,,funding_settlement:2b40cb77-21f0-497d-aee4-bb10476c5795,1613232000000000000
FUNDING,BTCUSDT-PERP.BINANCE,-2.08837470 USDT,,funding_settlement:ed46dc21-febb-4501-bfa3-2ea2763205da,1613260800013000000
FUNDING,BTCUSDT-PERP.BINANCE,-3.71155584 USDT,,funding_settlement:e66d41d3-5351-41e8-a25f-430c6bea80ca,1613289600000000000
FUNDING,BTCUSDT-PERP.BINANCE,-3.78135744 USDT,,funding_settlement:bee184c2-77da-4635-91af-59b66a209300,1613318400008000000
