adjustment_type,instrument_id,pnl_change,quantity_change,reason,ts_event
FUNDING,BTCUSDT-PERP.BINANCE,-3.82563994 USDT,,funding_settlement:d5336abf-ee9d-4568-9604-a88f29464f62,1612166400014000000
FUNDING,BTCUSDT-PERP.BINANCE,-6.67814160 USDT,,funding_settlement:0328d884-4d99-4faa-b52a-3a3ba78fa883,1612195200000000000
FUNDING,BTCUSDT-PERP.BINANCE,-3.71413087 USDT,,funding_settlement:4ac71858-8f09-497a-93db-20b93b96f405,1612224000000000000
FUNDING,BTCUSDT-PERP.BINANCE,-4.56749566 USDT,,funding_settlement:7d58561f-c921-4978-8206-ea533e3dc24f,1612252800006000000
FUNDING,BTCUSDT-PERP.BINANCE,-12.78012871 USDT,,funding_settlement:613d155b-5793-42f6-bd0a-08271164b05c,1612281600000000000
FUNDING,BTCUSDT-PERP.BINANCE,-8.26375889 USDT,,funding_settlement:da409885-1a88-41bc-9c4e-c9a175360884,1612310400009000000
FUNDING,BTCUSDT-PERP.BINANCE,-8.83925756 USDT,,funding_settlement:9441b258-a094-42b4-b384-39543642e1eb,1612339200006000000
FUNDING,BTCUSDT-PERP.BINANCE,-8.36070798 USDT,,funding_settlement:1cabc25a-3d8d-4b82-8878-05cd700a9769,1612368000006000000
FUNDING,BTCUSDT-PERP.BINANCE,-3.29373125 USDT,,funding_settlement:c67507eb-02c7-427a-b3c9-d7589f1b4c1c,1612396800005000000
FUNDING,BTCUSDT-PERP.BINANCE,-8.46866550 USDT,,funding_settlement:2a440139-7ec0-4894-bcc6-a5345a0c4ef3,1612425600000000000
FUNDING,BTCUSDT-PERP.BINANCE,-6.82363101 USDT,,funding_settlement:3c731a2f-00b4-45b3-826b-4607fcd92195,1612454400011000000
FUNDING,BTCUSDT-PERP.BINANCE,-6.30627370 USDT,,funding_settlement:a419bb70-04f6-48ee-8f5c-763cc03a09be,1612483200009000000
