adjustment_type,instrument_id,pnl_change,quantity_change,reason,ts_event
FUNDING,BTCUSDT-PERP.BINANCE,-1.18315753 USDT,,funding_settlement:8767fedd-56cf-4db5-9e3e-087e3bbc6847,1612771200001000000
FUNDING,BTCUSDT-PERP.BINANCE,-5.66749749 USDT,,funding_settlement:07148cb5-f59a-49d2-afff-3be923944aa1,1612800000000000000
FUNDING,BTCUSDT-PERP.BINANCE,-3.16484291 USDT,,funding_settlement:46bc3db0-7a11-4e55-b9ab-b0b5825feb69,1612828800010000000
FUNDING,BTCUSDT-PERP.BINANCE,-4.62040777 USDT,,funding_settlement:84452f1e-2d72-4b3e-a3f7-120725a78f51,1612857600006000000
FUNDING,BTCUSDT-PERP.BINANCE,-3.92675978 USDT,,funding_settlement:5ce71ff4-83c0-4741-9e28-98a1c45bf1ee,1612886400007000000
FUNDING,BTCUSDT-PERP.BINANCE,-3.00689860 USDT,,funding_settlement:5d43f16a-8f37-43a7-8363-96912b217e47,1612915200009000000
FUNDING,BTCUSDT-PERP.BINANCE,-4.25602012 USDT,,funding_settlement:5dc13fdb-8057-4d0a-a850-3c6f2c3fcbad,1612944000014000000
FUNDING,BTCUSDT-PERP.BINANCE,-2.59290325 USDT,,funding_settlement:077e6d26-9a69-47b9-a74a-aa895405497d,1612972800005000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.79035277 USDT,,funding_settlement:8ffea1ca-5650-4dd7-b222-2cff09ceed9d,1613001600000000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.93347821 USDT,,funding_settlement:5a2d5b49-50dc-472d-a475-85d161185fa0,1613030400000000000
FUNDING,BTCUSDT-PERP.BINANCE,-4.35289792 USDT,,funding_settlement:caa73401-15a1-46e5-898a-e765da0bcd39,1613059200000000000
FUNDING,BTCUSDT-PERP.BINANCE,-3.21890144 USDT,,funding_settlement:9863cb9c-64a4-4b54-973f-68bdf96cc9de,1613088000000000000
FUNDING,BTCUSDT-PERP.BINANCE,-3.09602260 USDT,,funding_settlement:95a89858-2f10-4d32-83d5-06eb86cbb57d,1613116800000000000
FUNDING,BTCUSDT-PERP.BINANCE,-2.58274353 USDT,,funding_settlement:16269727-896c-4fbe-87c2-dba7f7398227,1613145600000000000
FUNDING,BTCUSDT-PERP.BINANCE,-3.44927576 USDT,,funding_settlement:828285fd-fe0d-443e-aa8a-a68b0b044e4a,1613174400001000000
FUNDING,BTCUSDT-PERP.BINANCE,-3.46415882 USDT,,funding_settlement:5bbfdc87-4299-43c7-85c0-ea1c218a1797,1613203200003000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.86126525 USDT,,funding_settlement:b0476817-28de-4dcc-9551-96bdc836557c,1613232000000000000
FUNDING,BTCUSDT-PERP.BINANCE,-2.08837470 USDT,,funding_settlement:00ac8da1-236b-441c-969f-35dd0eecb0b9,1613260800013000000
FUNDING,BTCUSDT-PERP.BINANCE,-3.71155584 USDT,,funding_settlement:74919296-02cb-476d-99c0-4688e08f3975,1613289600000000000
FUNDING,BTCUSDT-PERP.BINANCE,-3.78135744 USDT,,funding_settlement:c68c12df-2542-4eda-bafe-217933d0ba17,1613318400008000000
FUNDING,BTCUSDT-PERP.BINANCE,-2.98298755 USDT,,funding_settlement:893af6f4-bd0c-4db3-8ed0-90c21aa4e689,1613347200000000000
FUNDING,BTCUSDT-PERP.BINANCE,-0.76829509 USDT,,funding_settlement:0eb4dd19-be7d-436b-8b56-60c469ef545e,1613376000006000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.30801979 USDT,,funding_settlement:db49da2a-3178-45ff-b3a5-64913312df5c,1613404800000000000
