adjustment_type,instrument_id,pnl_change,quantity_change,reason,ts_event
FUNDING,BTCUSDT-PERP.BINANCE,-3.82563994 USDT,,funding_settlement:3734d0bd-301f-4187-9178-1d259169db06,1612166400014000000
FUNDING,BTCUSDT-PERP.BINANCE,-6.67814160 USDT,,funding_settlement:f53a79e4-55f8-4c98-a0fd-26026fd3440f,1612195200000000000
FUNDING,BTCUSDT-PERP.BINANCE,-3.71413087 USDT,,funding_settlement:3000ea74-8689-4991-9079-ec47d2de91cd,1612224000000000000
FUNDING,BTCUSDT-PERP.BINANCE,-4.56749566 USDT,,funding_settlement:3d19defa-577f-4e49-ab78-e660edae3d99,1612252800006000000
FUNDING,BTCUSDT-PERP.BINANCE,-12.78012871 USDT,,funding_settlement:404fc072-c9ce-4619-a699-815f029089a3,1612281600000000000
FUNDING,BTCUSDT-PERP.BINANCE,-8.26375889 USDT,,funding_settlement:7a6ac0e4-c174-432f-a1a6-41f28c212013,1612310400009000000
FUNDING,BTCUSDT-PERP.BINANCE,-8.83925756 USDT,,funding_settlement:86f00006-a283-444b-81a5-1f96f88041fa,1612339200006000000
FUNDING,BTCUSDT-PERP.BINANCE,-8.36070798 USDT,,funding_settlement:49b67f9c-84a1-443d-b978-ab79ed101b56,1612368000006000000
FUNDING,BTCUSDT-PERP.BINANCE,-3.29373125 USDT,,funding_settlement:0f6f11ae-0714-48fa-a900-639211e3ad3a,1612396800005000000
FUNDING,BTCUSDT-PERP.BINANCE,-8.46866550 USDT,,funding_settlement:cc1755cd-972e-41d9-a011-822ce43a717f,1612425600000000000
FUNDING,BTCUSDT-PERP.BINANCE,-6.82363101 USDT,,funding_settlement:4d902ea7-62eb-464b-bd38-4ec4bcf06cbe,1612454400011000000
FUNDING,BTCUSDT-PERP.BINANCE,-6.30627370 USDT,,funding_settlement:b35c12f2-aed1-48e9-aa43-a438aa964f13,1612483200009000000
FUNDING,BTCUSDT-PERP.BINANCE,-8.49152014 USDT,,funding_settlement:3da1cf6b-25fe-4537-b357-0e1db5262ac3,1612512000004000000
FUNDING,BTCUSDT-PERP.BINANCE,-11.33959303 USDT,,funding_settlement:3b664c23-8bf6-42e6-8646-904a9ba9efc8,1612540800000000000
FUNDING,BTCUSDT-PERP.BINANCE,-4.01232690 USDT,,funding_settlement:4861bba1-048e-42aa-8a25-ec7d35c731fe,1612569600008000000
FUNDING,BTCUSDT-PERP.BINANCE,-8.28072357 USDT,,funding_settlement:91eca774-3b25-4750-aafc-dce12aeeb561,1612598400009000000
FUNDING,BTCUSDT-PERP.BINANCE,-12.59876101 USDT,,funding_settlement:2582209e-36e1-4506-ad4c-d5ea9f347ee9,1612627200000000000
FUNDING,BTCUSDT-PERP.BINANCE,-18.37704745 USDT,,funding_settlement:a796c560-aa35-4e7e-9d23-d18084ac4767,1612656000000000000
FUNDING,BTCUSDT-PERP.BINANCE,-7.65673059 USDT,,funding_settlement:3e1314a6-2a60-4482-b028-d93ec49c5aa4,1612684800005000000
FUNDING,BTCUSDT-PERP.BINANCE,-12.13443490 USDT,,funding_settlement:3c9da828-1bf9-46da-84a2-737678b7f72a,1612713600001000000
FUNDING,BTCUSDT-PERP.BINANCE,-6.92934494 USDT,,funding_settlement:368528b1-6615-4378-b990-a686c9bfaa8a,1612742400000000000
FUNDING,BTCUSDT-PERP.BINANCE,-6.75764976 USDT,,funding_settlement:c54b7652-ad4c-4917-bf43-6fa006d41d9d,1612771200001000000
FUNDING,BTCUSDT-PERP.BINANCE,-32.37012992 USDT,,funding_settlement:64d5e07b-5eaa-4ffd-b436-35edf1da3c4d,1612800000000000000
