adjustment_type,instrument_id,pnl_change,quantity_change,reason,ts_event
FUNDING,BTCUSDT-PERP.BINANCE,-0.73716650 USDT,,funding_settlement:45ff9f7d-65eb-480d-b8f2-643cdbd5a77c,1612166400014000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.28681798 USDT,,funding_settlement:108f0a7e-4efa-4e76-9970-4dad79a3c285,1612195200000000000
FUNDING,BTCUSDT-PERP.BINANCE,-0.71567970 USDT,,funding_settlement:935bd5e4-dd81-451b-a8ce-2751a88edfe5,1612224000000000000
FUNDING,BTCUSDT-PERP.BINANCE,-0.88011544 USDT,,funding_settlement:cedb8ce6-fd59-419d-a81e-d4c5d516ca45,1612252800006000000
FUNDING,BTCUSDT-PERP.BINANCE,-2.46261616 USDT,,funding_settlement:63b86664-aa04-4802-a54d-4918ed99daf6,1612281600000000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.59235221 USDT,,funding_settlement:425a33b3-4381-494d-ac36-54e2bbd98dda,1612310400009000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.70324564 USDT,,funding_settlement:8436da28-b1b2-4379-a15b-f8e52fb0a816,1612339200006000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.61103343 USDT,,funding_settlement:08285c49-1025-4561-9346-349220475e3a,1612368000006000000
FUNDING,BTCUSDT-PERP.BINANCE,-0.63467247 USDT,,funding_settlement:ec91652d-c7d7-410c-8bd0-6182c19ffed2,1612396800005000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.63183588 USDT,,funding_settlement:07078ed6-6dae-48f6-a9b6-1ba976af7922,1612425600000000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.31485249 USDT,,funding_settlement:5bc73225-30ac-4078-8589-f4df7d0deb72,1612454400011000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.21516237 USDT,,funding_settlement:4bbb153d-c303-4cdb-9049-ee86de8415a1,1612483200009000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.63623976 USDT,,funding_settlement:c65f1b34-a8b1-4df4-abf7-eec250029ea4,1612512000004000000
FUNDING,BTCUSDT-PERP.BINANCE,-2.18503786 USDT,,funding_settlement:62d10091-b945-4c36-8cf3-c76995d9a280,1612540800000000000
FUNDING,BTCUSDT-PERP.BINANCE,-0.77313940 USDT,,funding_settlement:abd3ba4e-f71e-4716-b99f-b49761367e64,1612569600008000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.59562115 USDT,,funding_settlement:a191f623-456f-43a8-80b2-afd964897abe,1612598400009000000
FUNDING,BTCUSDT-PERP.BINANCE,-2.42766823 USDT,,funding_settlement:370ab531-ad8c-4767-a6b8-4fdef904ab27,1612627200000000000
FUNDING,BTCUSDT-PERP.BINANCE,-3.54109220 USDT,,funding_settlement:4eb5096d-6667-45c1-99e2-3783616f72e1,1612656000000000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.47538330 USDT,,funding_settlement:068f771c-368e-424b-8b09-5400fc2aeea3,1612684800005000000
FUNDING,BTCUSDT-PERP.BINANCE,-2.33819676 USDT,,funding_settlement:727bdd76-6253-4bc4-b4dc-6e8af4d2ba39,1612713600001000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.33522261 USDT,,funding_settlement:94ffa4f1-2855-4b4d-a31d-62de13f998fb,1612742400000000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.22866359 USDT,,funding_settlement:9fffc89a-0f09-437a-8b98-1bd2fe1a64fe,1612771200001000000
FUNDING,BTCUSDT-PERP.BINANCE,-5.88547817 USDT,,funding_settlement:1794d994-447b-43ff-90b2-610d89d95791,1612800000000000000
FUNDING,BTCUSDT-PERP.BINANCE,-3.28656764 USDT,,funding_settlement:67a620aa-4fd1-481b-9e8e-19528f2db0ac,1612828800010000000
FUNDING,BTCUSDT-PERP.BINANCE,-4.79811576 USDT,,funding_settlement:50f3f568-9da7-4654-ab90-422eed00df16,1612857600006000000
FUNDING,BTCUSDT-PERP.BINANCE,-4.07778900 USDT,,funding_settlement:7361ee17-66a0-4287-8aa6-60c17b7687c8,1612886400007000000
FUNDING,BTCUSDT-PERP.BINANCE,-3.12254854 USDT,,funding_settlement:0a5c3352-4820-455b-99bd-75e714df458c,1612915200009000000
FUNDING,BTCUSDT-PERP.BINANCE,-4.41971320 USDT,,funding_settlement:95e5bab0-3e63-43a5-8037-d6fc25641c58,1612944000014000000
FUNDING,BTCUSDT-PERP.BINANCE,-2.69263030 USDT,,funding_settlement:eb6b6c54-2947-41cf-a748-1d31642f196e,1612972800005000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.85921249 USDT,,funding_settlement:1d7d7fc6-467d-4a9a-ac8a-0d0062c589c9,1613001600000000000
FUNDING,BTCUSDT-PERP.BINANCE,-2.00784276 USDT,,funding_settlement:1ba3f1c1-f9b1-44e6-8baa-9a3215a651bd,1613030400000000000
FUNDING,BTCUSDT-PERP.BINANCE,-4.52031707 USDT,,funding_settlement:52f89033-c267-44d0-88cd-c13b1fa91347,1613059200000000000
FUNDING,BTCUSDT-PERP.BINANCE,-3.34270534 USDT,,funding_settlement:d23d33ca-fd1e-4291-9492-e4cf7f84518c,1613088000000000000
FUNDING,BTCUSDT-PERP.BINANCE,-3.21510040 USDT,,funding_settlement:feb5473e-c781-480a-b557-7b27290f1a06,1613116800000000000
FUNDING,BTCUSDT-PERP.BINANCE,-2.68207982 USDT,,funding_settlement:75778657-d2c5-4f0a-aa55-c0b1455690b3,1613145600000000000
FUNDING,BTCUSDT-PERP.BINANCE,-3.58194021 USDT,,funding_settlement:ba6120f8-c241-4925-a474-2136f3ab3211,1613174400001000000
FUNDING,BTCUSDT-PERP.BINANCE,-3.59739570 USDT,,funding_settlement:d5963d36-776a-453a-b0f6-c4baeb63de99,1613203200003000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.93285237 USDT,,funding_settlement:f17fa0c2-dc1f-4b1f-b147-8d16aaed6640,1613232000000000000
FUNDING,BTCUSDT-PERP.BINANCE,-2.16869680 USDT,,funding_settlement:ab195d90-1646-4059-886b-af77b9fbb5a1,1613260800013000000
FUNDING,BTCUSDT-PERP.BINANCE,-3.85430799 USDT,,funding_settlement:b540044e-edb3-43cc-9e12-5e978e03d9e7,1613289600000000000
FUNDING,BTCUSDT-PERP.BINANCE,-3.92679426 USDT,,funding_settlement:8718c767-1944-4935-9b78-2f83bed2d687,1613318400008000000
FUNDING,BTCUSDT-PERP.BINANCE,-3.09771784 USDT,,funding_settlement:6f900188-cfc0-4c81-a1ec-79dacbc4b225,1613347200000000000
FUNDING,BTCUSDT-PERP.BINANCE,-0.78750246 USDT,,funding_settlement:ce9e2998-6279-42e1-9372-29df7f1d8cf8,1613376000006000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.34072028 USDT,,funding_settlement:405e8753-4f8c-4637-9e63-23600276963b,1613404800000000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.95932843 USDT,,funding_settlement:0cafb7dc-2131-4675-baeb-4313dd280b90,1613433600001000000
FUNDING,BTCUSDT-PERP.BINANCE,-2.49310194 USDT,,funding_settlement:f1d3852a-d2ed-4339-8818-b801408a144a,1613462400000000000
FUNDING,BTCUSDT-PERP.BINANCE,-2.85110463 USDT,,funding_settlement:7080a88d-3c48-48f9-81f7-6e615629083b,1613491200010000000
FUNDING,BTCUSDT-PERP.BINANCE,-2.10014779 USDT,,funding_settlement:66299926-8247-46f0-9efe-f61ac8663985,1613520000005000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.96056840 USDT,,funding_settlement:beae94a2-4f12-488e-ab75-d99b6321fe97,1613548800010000000
FUNDING,BTCUSDT-PERP.BINANCE,-3.08944958 USDT,,funding_settlement:c03f9c21-599b-4c36-9480-316d5175ad6c,1613577600008000000
FUNDING,BTCUSDT-PERP.BINANCE,-2.83010084 USDT,,funding_settlement:2744802a-936b-4507-af7f-796e6cede3ef,1613606400012000000
FUNDING,BTCUSDT-PERP.BINANCE,-3.29065476 USDT,,funding_settlement:3ef094b0-414f-40a6-a34f-5d04d357f987,1613635200000000000
FUNDING,BTCUSDT-PERP.BINANCE,-2.66530296 USDT,,funding_settlement:5b06703f-7757-4589-bf56-a198988646c7,1613664000009000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.93097129 USDT,,funding_settlement:f4cc085f-4712-4452-9bdd-7a40128ed680,1613692800010000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.79614325 USDT,,funding_settlement:4a212ff4-e253-4eee-85d9-c4f7ebb90cfb,1613721600002000000
FUNDING,BTCUSDT-PERP.BINANCE,-2.84809161 USDT,,funding_settlement:621419aa-724f-40f9-adc3-dad55e7bf427,1613750400008000000
FUNDING,BTCUSDT-PERP.BINANCE,-3.58797241 USDT,,funding_settlement:7aa890c1-be7c-4878-92d2-e89e681e699a,1613779200000000000
FUNDING,BTCUSDT-PERP.BINANCE,-2.64069213 USDT,,funding_settlement:6a8230e6-9c9f-45bb-b66c-0985084cd9f0,1613808000009000000
FUNDING,BTCUSDT-PERP.BINANCE,-2.82332487 USDT,,funding_settlement:427cd6be-c5e0-47fa-a170-0b0b0d31b295,1613836800000000000
FUNDING,BTCUSDT-PERP.BINANCE,-2.30158557 USDT,,funding_settlement:cb543435-5751-4759-a42c-3768599097dc,1613865600007000000
FUNDING,BTCUSDT-PERP.BINANCE,-2.27939422 USDT,,funding_settlement:1e986cad-ce4c-439d-b339-c3300fd5d1d2,1613894400012000000
FUNDING,BTCUSDT-PERP.BINANCE,-2.96052492 USDT,,funding_settlement:5b9aa51f-db70-49cd-9610-d03050af4a87,1613923200001000000
FUNDING,BTCUSDT-PERP.BINANCE,-2.75799047 USDT,,funding_settlement:0f214525-bb93-4f5d-b0ff-1152b7e7b9c3,1613952000006000000
FUNDING,BTCUSDT-PERP.BINANCE,-2.17802541 USDT,,funding_settlement:f04d3d93-d5ea-4ff9-9e3f-5f04e3857bff,1613980800002000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.74277075 USDT,,funding_settlement:b5f9fd39-991b-451c-bd88-f062af0121b4,1614009600000000000
FUNDING,BTCUSDT-PERP.BINANCE,-0.56699823 USDT,,funding_settlement:da5d6a71-53bd-4604-b788-f442be61baa1,1614038400000000000
FUNDING,BTCUSDT-PERP.BINANCE,-0.61833514 USDT,,funding_settlement:0752d35e-fda9-4e49-b7c1-8ba596957a18,1614067200006000000
FUNDING,BTCUSDT-PERP.BINANCE,-0.27118591 USDT,,funding_settlement:e9729b39-4e7d-4472-bd82-ff8a3edea9be,1614096000000000000
FUNDING,BTCUSDT-PERP.BINANCE,-0.20552303 USDT,,funding_settlement:146d6a59-672a-46b7-9dd5-b69b39413939,1614124800012000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.09037353 USDT,,funding_settlement:9d8f69dd-6e90-40b6-a5ee-f345e3715a11,1614153600016000000
FUNDING,BTCUSDT-PERP.BINANCE,-0.78074971 USDT,,funding_settlement:2bfdb781-b12b-4881-8fc4-b3062eb54ca5,1614182400011000000
