adjustment_type,instrument_id,pnl_change,quantity_change,reason,ts_event
FUNDING,BTCUSDT-PERP.BINANCE,-5.84752858 USDT,,funding_settlement:f13fa68f-27b0-4b20-a92c-cc53ce113bba,1612771200001000000
FUNDING,BTCUSDT-PERP.BINANCE,-28.01051646 USDT,,funding_settlement:757e73c7-b36a-417a-9e46-30e1e3e4e154,1612800000000000000
FUNDING,BTCUSDT-PERP.BINANCE,-15.64162747 USDT,,funding_settlement:b94dd9a1-4bee-412a-985b-7493284c9c56,1612828800010000000
FUNDING,BTCUSDT-PERP.BINANCE,-22.83547684 USDT,,funding_settlement:7042818f-2f38-4395-a555-5c7986527d16,1612857600006000000
FUNDING,BTCUSDT-PERP.BINANCE,-19.40725504 USDT,,funding_settlement:cd9c0428-8249-42d0-ba96-f6c782435c7f,1612886400007000000
FUNDING,BTCUSDT-PERP.BINANCE,-14.86101807 USDT,,funding_settlement:c21eac85-fe02-4faf-8cf8-b2a1ab488c9e,1612915200009000000
FUNDING,BTCUSDT-PERP.BINANCE,-21.03456096 USDT,,funding_settlement:9fc8b1b4-dc94-44e1-adbe-4dab69060921,1612944000014000000
FUNDING,BTCUSDT-PERP.BINANCE,-12.81492569 USDT,,funding_settlement:a95af7da-7029-4eec-941c-76d54c099822,1612972800005000000
FUNDING,BTCUSDT-PERP.BINANCE,-8.84847424 USDT,,funding_settlement:4829de57-c7ec-49ff-a78f-cf211c4fbfc0,1613001600000000000
FUNDING,BTCUSDT-PERP.BINANCE,-9.55584424 USDT,,funding_settlement:054587a5-cc91-4277-be5e-e7226df3edfd,1613030400000000000
FUNDING,BTCUSDT-PERP.BINANCE,-21.51336086 USDT,,funding_settlement:e4220c0c-1fa7-448f-ab38-c1e680ad52bf,1613059200000000000
FUNDING,BTCUSDT-PERP.BINANCE,-15.90880133 USDT,,funding_settlement:1587b804-83a6-4e06-a185-21d62c774453,1613088000000000000
FUNDING,BTCUSDT-PERP.BINANCE,-15.30149633 USDT,,funding_settlement:5199b071-217f-4fe0-9dde-35ac26f52cfe,1613116800000000000
FUNDING,BTCUSDT-PERP.BINANCE,-12.76471322 USDT,,funding_settlement:c3e84129-4d90-4e8b-be89-bcb6e800e719,1613145600000000000
FUNDING,BTCUSDT-PERP.BINANCE,-17.04738213 USDT,,funding_settlement:3ded188b-a0d7-44e0-a431-151d72876411,1613174400001000000
FUNDING,BTCUSDT-PERP.BINANCE,-17.12093878 USDT,,funding_settlement:6f20d826-bb95-4000-bb45-9fbcf700efe3,1613203200003000000
FUNDING,BTCUSDT-PERP.BINANCE,-9.19894555 USDT,,funding_settlement:37e9aaa2-36b5-4796-9f0d-833c87d73b13,1613232000000000000
FUNDING,BTCUSDT-PERP.BINANCE,-10.32139033 USDT,,funding_settlement:43791fe0-d98a-41a8-b67b-d37fae415c3d,1613260800013000000
FUNDING,BTCUSDT-PERP.BINANCE,-18.34365098 USDT,,funding_settlement:13a3b95e-14c4-4029-a28b-eb5025940aa2,1613289600000000000
FUNDING,BTCUSDT-PERP.BINANCE,-18.68863196 USDT,,funding_settlement:dac6160c-7980-4ffc-85ee-bde34935d77d,1613318400008000000
FUNDING,BTCUSDT-PERP.BINANCE,-14.74284230 USDT,,funding_settlement:be8518e1-f3a5-4e03-86dd-d8e672d52a8b,1613347200000000000
FUNDING,BTCUSDT-PERP.BINANCE,-4.80184430 USDT,,funding_settlement:e68b4018-4fa9-4662-91e7-f5326c658d67,1613376000006000000
FUNDING,BTCUSDT-PERP.BINANCE,-8.17512367 USDT,,funding_settlement:03f7ef7f-28af-4193-99cf-03fb05530084,1613404800000000000
FUNDING,BTCUSDT-PERP.BINANCE,-11.94712458 USDT,,funding_settlement:61ebf184-4eaa-4610-b8dc-53436c57e861,1613433600001000000
FUNDING,BTCUSDT-PERP.BINANCE,-15.20184112 USDT,,funding_settlement:7c27a343-3391-4044-bd36-0e989a6d20a3,1613462400000000000
FUNDING,BTCUSDT-PERP.BINANCE,-17.38478435 USDT,,funding_settlement:ec510eae-05b7-4e40-9524-452a23ff855f,1613491200010000000
FUNDING,BTCUSDT-PERP.BINANCE,-12.80577919 USDT,,funding_settlement:7bf498c9-a6f2-4d77-b84c-8d4dff49ce38,1613520000005000000
FUNDING,BTCUSDT-PERP.BINANCE,-11.95468537 USDT,,funding_settlement:0ea35941-7b4a-4b71-a68c-cbd44bfa197a,1613548800010000000
FUNDING,BTCUSDT-PERP.BINANCE,-18.83810719 USDT,,funding_settlement:40194cde-dbcc-4494-a3f5-cda670f17069,1613577600008000000
FUNDING,BTCUSDT-PERP.BINANCE,-17.25671244 USDT,,funding_settlement:6e9fcfc7-1db4-4436-a12f-dab45e05121f,1613606400012000000
FUNDING,BTCUSDT-PERP.BINANCE,-20.06496805 USDT,,funding_settlement:fc61efce-7c2c-4e48-9029-9d6e635c3dfb,1613635200000000000
FUNDING,BTCUSDT-PERP.BINANCE,-16.25184734 USDT,,funding_settlement:c4502f27-1dd0-4b9c-b503-3173dbdee0ca,1613664000009000000
FUNDING,BTCUSDT-PERP.BINANCE,-11.77421516 USDT,,funding_settlement:186cd3a0-dfc9-44db-8cfa-0f1ecfd962dc,1613692800010000000
FUNDING,BTCUSDT-PERP.BINANCE,-10.95209299 USDT,,funding_settlement:fbd02a28-fb70-4009-97d4-77c19bb5b091,1613721600002000000
FUNDING,BTCUSDT-PERP.BINANCE,-17.36641227 USDT,,funding_settlement:866dc0a6-2b6e-4958-a714-5293b5ade63d,1613750400008000000
FUNDING,BTCUSDT-PERP.BINANCE,-21.87788054 USDT,,funding_settlement:d9297006-faee-46d5-8116-5c56e0e320ad,1613779200000000000
FUNDING,BTCUSDT-PERP.BINANCE,-16.10178130 USDT,,funding_settlement:9ffe3539-140a-47c3-bc6d-490d976d3026,1613808000009000000
FUNDING,BTCUSDT-PERP.BINANCE,-17.21539553 USDT,,funding_settlement:2d799e62-1e53-49d9-90c7-3197d38aa2fc,1613836800000000000
FUNDING,BTCUSDT-PERP.BINANCE,-14.03405836 USDT,,funding_settlement:0b0a496e-0a95-4ec7-b906-bdaa767228bd,1613865600007000000
FUNDING,BTCUSDT-PERP.BINANCE,-13.89874525 USDT,,funding_settlement:50cd205a-da0c-4e8a-96e0-d20794e31113,1613894400012000000
FUNDING,BTCUSDT-PERP.BINANCE,-18.05198121 USDT,,funding_settlement:7478feac-fbd2-402c-8ad9-876fc7ae9796,1613923200001000000
FUNDING,BTCUSDT-PERP.BINANCE,-16.81701508 USDT,,funding_settlement:a99655d2-bf7e-4e81-8e43-b921ed11de04,1613952000006000000
