adjustment_type,instrument_id,pnl_change,quantity_change,reason,ts_event
FUNDING,BTCUSDT-PERP.BINANCE,-5.84752858 USDT,,funding_settlement:f648f72a-a40e-4ba8-bed6-815cae294ddb,1612771200001000000
FUNDING,BTCUSDT-PERP.BINANCE,-28.01051646 USDT,,funding_settlement:00bc2d9f-1efa-41ef-bb5a-f46a080f9461,1612800000000000000
FUNDING,BTCUSDT-PERP.BINANCE,-15.64162747 USDT,,funding_settlement:28380e5b-5f17-402e-bc6f-7dc5413d421b,1612828800010000000
FUNDING,BTCUSDT-PERP.BINANCE,-22.83547684 USDT,,funding_settlement:6668dfd6-992e-4da9-9aec-05154c6b3ea2,1612857600006000000
FUNDING,BTCUSDT-PERP.BINANCE,-19.40725504 USDT,,funding_settlement:f046f21c-92fb-4336-9077-f9f25097eb11,1612886400007000000
FUNDING,BTCUSDT-PERP.BINANCE,-14.86101807 USDT,,funding_settlement:edeea737-19a0-4b0a-b4aa-dda8086a55c7,1612915200009000000
FUNDING,BTCUSDT-PERP.BINANCE,-21.03456096 USDT,,funding_settlement:2fb5bbef-b178-4a0f-928e-a0b9bf89a611,1612944000014000000
FUNDING,BTCUSDT-PERP.BINANCE,-12.81492569 USDT,,funding_settlement:748d484f-d081-46d9-85c2-d7a020d47f45,1612972800005000000
FUNDING,BTCUSDT-PERP.BINANCE,-8.84847424 USDT,,funding_settlement:888ec56a-d911-49b6-bdf0-a26173640a70,1613001600000000000
FUNDING,BTCUSDT-PERP.BINANCE,-9.55584424 USDT,,funding_settlement:5ac89ebd-739e-488c-88d2-7ba12e7fe889,1613030400000000000
FUNDING,BTCUSDT-PERP.BINANCE,-21.51336086 USDT,,funding_settlement:ca12ae17-4b4b-4813-80f8-a583707530b5,1613059200000000000
FUNDING,BTCUSDT-PERP.BINANCE,-15.90880133 USDT,,funding_settlement:eb0d63fd-db05-4c6d-b1c1-3dcea5449c3a,1613088000000000000
FUNDING,BTCUSDT-PERP.BINANCE,-15.30149633 USDT,,funding_settlement:8a0050eb-7526-4c29-839b-b3cdfd313c44,1613116800000000000
FUNDING,BTCUSDT-PERP.BINANCE,-12.76471322 USDT,,funding_settlement:e26f10e9-0439-4ee5-8d22-ba29acec579c,1613145600000000000
FUNDING,BTCUSDT-PERP.BINANCE,-17.04738213 USDT,,funding_settlement:fc6c604e-350a-4f61-838b-d8d299bce2e9,1613174400001000000
FUNDING,BTCUSDT-PERP.BINANCE,-17.12093878 USDT,,funding_settlement:4564d2c0-ac86-41f5-b954-7ae20a759451,1613203200003000000
FUNDING,BTCUSDT-PERP.BINANCE,-9.19894555 USDT,,funding_settlement:280179de-b994-404a-9086-d4634c5c9f75,1613232000000000000
FUNDING,BTCUSDT-PERP.BINANCE,-10.32139033 USDT,,funding_settlement:e11ea8a4-0e78-44a6-81e7-e5e0e6d2c08a,1613260800013000000
FUNDING,BTCUSDT-PERP.BINANCE,-18.34365098 USDT,,funding_settlement:2d47078b-f1f7-49c9-a417-0e4731da9a70,1613289600000000000
FUNDING,BTCUSDT-PERP.BINANCE,-18.68863196 USDT,,funding_settlement:566cfd70-d94f-40c8-b72a-4171d56e125e,1613318400008000000
FUNDING,BTCUSDT-PERP.BINANCE,-14.74284230 USDT,,funding_settlement:ee0519d3-f1bf-47c1-942d-952ee2d79b86,1613347200000000000
FUNDING,BTCUSDT-PERP.BINANCE,-4.80184430 USDT,,funding_settlement:94245a87-a49a-4c63-bc50-53abd861025e,1613376000006000000
FUNDING,BTCUSDT-PERP.BINANCE,-8.17512367 USDT,,funding_settlement:fa514bf6-2790-4ae0-a6df-d5f744df56c7,1613404800000000000
FUNDING,BTCUSDT-PERP.BINANCE,-11.94712458 USDT,,funding_settlement:a7eb8dc4-307d-4f65-978b-2ad7d3564a9f,1613433600001000000
FUNDING,BTCUSDT-PERP.BINANCE,-15.20184112 USDT,,funding_settlement:30c11984-1ed6-4c16-9a3a-502e91e847c6,1613462400000000000
FUNDING,BTCUSDT-PERP.BINANCE,-17.38478435 USDT,,funding_settlement:aa9b3102-2460-4a75-b8b3-058b0c9af597,1613491200010000000
FUNDING,BTCUSDT-PERP.BINANCE,-12.80577919 USDT,,funding_settlement:64ae9b28-fb07-4b96-8e74-35050cc2cbe5,1613520000005000000
FUNDING,BTCUSDT-PERP.BINANCE,-11.95468537 USDT,,funding_settlement:4534094f-ab95-4d57-85c9-d0fbbd3cdaf4,1613548800010000000
FUNDING,BTCUSDT-PERP.BINANCE,-18.83810719 USDT,,funding_settlement:6c359a0a-ae87-4394-8912-d3cd11a49584,1613577600008000000
FUNDING,BTCUSDT-PERP.BINANCE,-17.25671244 USDT,,funding_settlement:309dd738-ded0-4c56-857c-43de7c7ae1a8,1613606400012000000
FUNDING,BTCUSDT-PERP.BINANCE,-20.06496805 USDT,,funding_settlement:629cba80-44e1-493b-88a8-2ecfb43c5711,1613635200000000000
FUNDING,BTCUSDT-PERP.BINANCE,-16.25184734 USDT,,funding_settlement:20b1733f-6497-4ee4-80be-2a9ed8fa018b,1613664000009000000
FUNDING,BTCUSDT-PERP.BINANCE,-11.77421516 USDT,,funding_settlement:9762cd6d-327c-4489-89ce-54c6d41000a1,1613692800010000000
FUNDING,BTCUSDT-PERP.BINANCE,-10.95209299 USDT,,funding_settlement:60b7adc7-b8f5-4846-854a-cffa9cb52ecf,1613721600002000000
FUNDING,BTCUSDT-PERP.BINANCE,-17.36641227 USDT,,funding_settlement:1ff66691-f777-4f42-aab7-166c350aae51,1613750400008000000
FUNDING,BTCUSDT-PERP.BINANCE,-21.87788054 USDT,,funding_settlement:e0b1f0e9-98c2-44dc-9ab6-4a12d2e17419,1613779200000000000
FUNDING,BTCUSDT-PERP.BINANCE,-16.10178130 USDT,,funding_settlement:535d4444-8059-4c7b-87df-aa0957a3cf3b,1613808000009000000
FUNDING,BTCUSDT-PERP.BINANCE,-17.21539553 USDT,,funding_settlement:b05517b5-10e5-4134-81a0-5d30868a9484,1613836800000000000
FUNDING,BTCUSDT-PERP.BINANCE,-14.03405836 USDT,,funding_settlement:7d68ef66-0e7c-441b-be47-d34a1901e20a,1613865600007000000
FUNDING,BTCUSDT-PERP.BINANCE,-13.89874525 USDT,,funding_settlement:998f68e0-5d2f-4144-b009-067ebd736fab,1613894400012000000
FUNDING,BTCUSDT-PERP.BINANCE,-18.05198121 USDT,,funding_settlement:eee7cf8e-2fdf-42c3-b19d-57005cca5e17,1613923200001000000
FUNDING,BTCUSDT-PERP.BINANCE,-16.81701508 USDT,,funding_settlement:1b714ed6-5554-411e-bb53-97922b1c0ee8,1613952000006000000
FUNDING,BTCUSDT-PERP.BINANCE,-12.70514822 USDT,,funding_settlement:77e9ea4b-2414-459e-bb03-eb1919fcaf56,1613980800002000000
FUNDING,BTCUSDT-PERP.BINANCE,-10.16616270 USDT,,funding_settlement:bf81dfed-3cd1-4e9d-9b22-ec9fb3f2511c,1614009600000000000
FUNDING,BTCUSDT-PERP.BINANCE,-3.30748970 USDT,,funding_settlement:30d5b45c-244c-4fbf-bccf-996fce517cbd,1614038400000000000
FUNDING,BTCUSDT-PERP.BINANCE,-3.60695501 USDT,,funding_settlement:877c1ba2-f616-4cea-9f43-93bcbdf9d483,1614067200006000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.58191780 USDT,,funding_settlement:4b1c6d9f-19e6-483d-bc55-87e37d63fab9,1614096000000000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.19888436 USDT,,funding_settlement:e281b544-0f7f-42f8-ad57-3b60c9f6b416,1614124800012000000
FUNDING,BTCUSDT-PERP.BINANCE,-6.36051227 USDT,,funding_settlement:7f97982a-26d9-40f3-81e5-29852994bc67,1614153600016000000
FUNDING,BTCUSDT-PERP.BINANCE,-4.55437329 USDT,,funding_settlement:d0397c0f-1aa4-482d-8406-4809565f0c90,1614182400011000000
FUNDING,BTCUSDT-PERP.BINANCE,-2.15619710 USDT,,funding_settlement:e3f6ac49-0b2f-40de-95bd-890098c343c5,1614211200007000000
FUNDING,BTCUSDT-PERP.BINANCE,-2.25388122 USDT,,funding_settlement:67f4a7d3-8fa7-443d-881d-594add8a7a6c,1614240000000000000
FUNDING,BTCUSDT-PERP.BINANCE,-4.24374331 USDT,,funding_settlement:d95e4df7-4f69-40aa-96b4-eea5528b9786,1614268800010000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.15390758 USDT,,funding_settlement:b8c3b502-e6f2-4568-9972-19455f187bc0,1614297600000000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.10073684 USDT,,funding_settlement:eb19aafa-8c9e-4391-85ac-7f078853df36,1614326400025000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.16653492 USDT,,funding_settlement:cc398773-de58-467a-9632-5d75a94f5d18,1614355200010000000
FUNDING,BTCUSDT-PERP.BINANCE,-3.42308039 USDT,,funding_settlement:d0376751-7f30-491f-b0bf-148bd06ea665,1614384000001000000
FUNDING,BTCUSDT-PERP.BINANCE,-5.15373542 USDT,,funding_settlement:7bc3901a-a0ee-4b59-86ff-ed776b685fb6,1614412800000000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.14514721 USDT,,funding_settlement:0ae41b6c-dd4d-45e1-b584-57ac4ad89a1a,1614441600000000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.12988610 USDT,,funding_settlement:4acd54e5-8edb-4702-bbf7-edc2694ff2f2,1614470400021000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.08884296 USDT,,funding_settlement:783abb37-9165-4451-9fa8-3756398d2d4c,1614499200009000000
FUNDING,BTCUSDT-PERP.BINANCE,-4.01273398 USDT,,funding_settlement:049b66f1-66ac-4fb5-9654-a994f942f2b3,1614528000000000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.87345168 USDT,,funding_settlement:1a35d273-eaf1-4857-862d-39ea792e2bcc,1614556800000000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.12502804 USDT,,funding_settlement:fb2fb38a-e51c-4e85-8236-86e04c90a7d2,1614585600003000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.19497868 USDT,,funding_settlement:1884e94d-4e88-402c-886a-1e59e2c70380,1614614400001000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.20480806 USDT,,funding_settlement:fb4bc32e-7876-4fb3-90ec-357949427146,1614643200000000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.17523038 USDT,,funding_settlement:755b8874-e8c7-4678-928b-90dc83606e0f,1614672000000000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.18300614 USDT,,funding_settlement:0ddc720d-e03b-46bd-bc2d-b7ab0bafd607,1614700800004000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.17718111 USDT,,funding_settlement:afa91e79-07ff-4897-9fd6-955c915dd8bd,1614729600000000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.20882135 USDT,,funding_settlement:1442beb0-b031-40ef-8fe0-be46340495ea,1614758400016000000
FUNDING,BTCUSDT-PERP.BINANCE,-5.56179456 USDT,,funding_settlement:f188be3a-170e-480e-b2f0-4aa540b5e0eb,1614787200000000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.22400680 USDT,,funding_settlement:509fc0c9-76a8-4b56-a11d-b1d4261109a0,1614816000000000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.20770578 USDT,,funding_settlement:ec3ccc92-035d-484a-bd2b-b8d8b66a7085,1614844800015000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.20142286 USDT,,funding_settlement:46b4d2d0-0eef-46ac-bfc0-b6ad39b48f8b,1614873600001000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.17542812 USDT,,funding_settlement:8031cad1-2ab0-4f4c-bc30-846d1e107156,1614902400000000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.15260342 USDT,,funding_settlement:06a82369-cac3-49e1-9570-fb31f6b6b891,1614931200002000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.16406890 USDT,,funding_settlement:98a9a5a3-83df-4f41-b655-ac638e1a55b6,1614960000008000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.18523153 USDT,,funding_settlement:68a79d44-99bd-4931-a38b-817c7ac4ee24,1614988800000000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.18684821 USDT,,funding_settlement:0274ca22-2578-4b6b-ae47-c2532576405c,1615017600000000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.14859284 USDT,,funding_settlement:55d9d2f4-627e-4c15-9e9d-f298ea0ee326,1615046400000000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.18762726 USDT,,funding_settlement:944458cb-5c6a-4e25-9a49-9e91373a4149,1615075200006000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.21685972 USDT,,funding_settlement:e815add5-e925-4551-8f5f-2d1f4ee887c6,1615104000005000000
FUNDING,BTCUSDT-PERP.BINANCE,-2.16426120 USDT,,funding_settlement:67817037-c4c7-447e-af72-3343cc97c218,1615132800008000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.23862057 USDT,,funding_settlement:0ccf2834-e6d3-49e9-b0f0-b0db041728fd,1615161600000000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.20502585 USDT,,funding_settlement:bd519604-00df-48b5-a8be-c45930b18fa9,1615190400000000000
FUNDING,BTCUSDT-PERP.BINANCE,-3.05892186 USDT,,funding_settlement:62d87b46-3f0f-4243-b5b8-67dd3e34eea0,1615219200006000000
FUNDING,BTCUSDT-PERP.BINANCE,-9.18611787 USDT,,funding_settlement:752f1299-7938-4f52-9041-bc81b7c173c3,1615248000000000000
FUNDING,BTCUSDT-PERP.BINANCE,-5.44255694 USDT,,funding_settlement:de5023c3-2090-4f3c-9448-1d5859f031d3,1615276800000000000
FUNDING,BTCUSDT-PERP.BINANCE,-7.47236859 USDT,,funding_settlement:4473c16e-5988-406b-9787-f5e04f80b139,1615305600000000000
FUNDING,BTCUSDT-PERP.BINANCE,-3.23555410 USDT,,funding_settlement:c16052f7-cb45-438b-a09f-9f5052c36b22,1615334400009000000
FUNDING,BTCUSDT-PERP.BINANCE,-6.37290628 USDT,,funding_settlement:53a6c05e-f389-4bc7-960b-068447f181fb,1615363200006000000
FUNDING,BTCUSDT-PERP.BINANCE,-7.76680332 USDT,,funding_settlement:774d1dc9-9ecb-4817-9f4c-a456492d6f4f,1615392000008000000
FUNDING,BTCUSDT-PERP.BINANCE,-12.98361103 USDT,,funding_settlement:8ef7c1f8-61f8-4b73-a027-be9a901b5f32,1615420800000000000
