adjustment_type,instrument_id,pnl_change,quantity_change,reason,ts_event
FUNDING,BTCUSDT-PERP.BINANCE,-5.84752858 USDT,,funding_settlement:ae67b373-72c2-4832-94ff-fa9c320da93b,1612771200001000000
FUNDING,BTCUSDT-PERP.BINANCE,-28.01051646 USDT,,funding_settlement:311671a8-9ec7-463e-a5f3-2da8feeecb68,1612800000000000000
FUNDING,BTCUSDT-PERP.BINANCE,-15.64162747 USDT,,funding_settlement:616e4b99-8cd8-40df-9a99-259c5574f28d,1612828800010000000
FUNDING,BTCUSDT-PERP.BINANCE,-22.83547684 USDT,,funding_settlement:1e18742c-5e53-40b0-8945-06c70048778e,1612857600006000000
FUNDING,BTCUSDT-PERP.BINANCE,-19.40725504 USDT,,funding_settlement:c5b5ebcb-43d2-4f1e-81d4-2c46ebb5d1de,1612886400007000000
FUNDING,BTCUSDT-PERP.BINANCE,-14.86101807 USDT,,funding_settlement:0d072924-3516-4734-9ce5-06ae4d44131e,1612915200009000000
FUNDING,BTCUSDT-PERP.BINANCE,-21.03456096 USDT,,funding_settlement:1484e4b7-983e-4933-a8d8-42d549cfce83,1612944000014000000
FUNDING,BTCUSDT-PERP.BINANCE,-12.81492569 USDT,,funding_settlement:800cfbbe-b228-49a2-a4e9-3b81fbfec764,1612972800005000000
FUNDING,BTCUSDT-PERP.BINANCE,-8.84847424 USDT,,funding_settlement:ba8590bd-bf93-4050-a219-50b0bc6bfb12,1613001600000000000
FUNDING,BTCUSDT-PERP.BINANCE,-9.55584424 USDT,,funding_settlement:f161439f-f638-4427-af0a-e0fd24440ea5,1613030400000000000
FUNDING,BTCUSDT-PERP.BINANCE,-21.51336086 USDT,,funding_settlement:2ecd3a5e-e0c6-4007-bd49-afe7230b70b0,1613059200000000000
FUNDING,BTCUSDT-PERP.BINANCE,-15.90880133 USDT,,funding_settlement:16c39ea4-e40b-49aa-bf28-3149e8c0ea40,1613088000000000000
FUNDING,BTCUSDT-PERP.BINANCE,-15.30149633 USDT,,funding_settlement:44616b19-2fad-4966-94fc-51691b9c28b6,1613116800000000000
FUNDING,BTCUSDT-PERP.BINANCE,-12.76471322 USDT,,funding_settlement:62925ab2-92eb-4d36-84e3-2caf7c8b2359,1613145600000000000
FUNDING,BTCUSDT-PERP.BINANCE,-17.04738213 USDT,,funding_settlement:5f99c18d-56d3-43f9-82fc-881400daecaa,1613174400001000000
FUNDING,BTCUSDT-PERP.BINANCE,-17.12093878 USDT,,funding_settlement:20452ec9-2886-404b-b343-31790d110d3a,1613203200003000000
FUNDING,BTCUSDT-PERP.BINANCE,-9.19894555 USDT,,funding_settlement:5a4cda00-f621-4dbb-9cbf-8c2a5fe2f861,1613232000000000000
FUNDING,BTCUSDT-PERP.BINANCE,-10.32139033 USDT,,funding_settlement:a3f8bf4a-8ca5-4f84-97ba-5b8c7e26f88c,1613260800013000000
FUNDING,BTCUSDT-PERP.BINANCE,-18.34365098 USDT,,funding_settlement:31940bcb-adae-4de3-87eb-f11724d1d996,1613289600000000000
FUNDING,BTCUSDT-PERP.BINANCE,-18.68863196 USDT,,funding_settlement:b7b6229a-06c2-4874-90b9-76ba8084852f,1613318400008000000
FUNDING,BTCUSDT-PERP.BINANCE,-14.74284230 USDT,,funding_settlement:e4968788-505a-4bf9-8b9c-8c85c40ad441,1613347200000000000
FUNDING,BTCUSDT-PERP.BINANCE,-4.80184430 USDT,,funding_settlement:9e617b6c-c539-49c3-8711-cc4a4fd08596,1613376000006000000
FUNDING,BTCUSDT-PERP.BINANCE,-8.17512367 USDT,,funding_settlement:b0d443cd-4844-4e35-b562-cbfe855d5f56,1613404800000000000
FUNDING,BTCUSDT-PERP.BINANCE,-11.94712458 USDT,,funding_settlement:e38ed7a8-8929-4103-b7c7-d8ec1e4e2670,1613433600001000000
FUNDING,BTCUSDT-PERP.BINANCE,-15.20184112 USDT,,funding_settlement:23d6238f-2838-4d08-aff4-17972d033810,1613462400000000000
FUNDING,BTCUSDT-PERP.BINANCE,-17.38478435 USDT,,funding_settlement:f731e9d5-9ce0-4fb3-a26e-14d0563984c9,1613491200010000000
FUNDING,BTCUSDT-PERP.BINANCE,-12.80577919 USDT,,funding_settlement:8add74f0-11d0-44ea-a0a6-5aa939fe9c7f,1613520000005000000
FUNDING,BTCUSDT-PERP.BINANCE,-11.95468537 USDT,,funding_settlement:da370b0d-92d8-477b-b6e6-8c90bc9d5b84,1613548800010000000
FUNDING,BTCUSDT-PERP.BINANCE,-18.83810719 USDT,,funding_settlement:add10f2b-6cea-4b16-9b0c-938035e95c6e,1613577600008000000
FUNDING,BTCUSDT-PERP.BINANCE,-17.25671244 USDT,,funding_settlement:3bea7e1f-c704-4961-ab40-9a84ea72a944,1613606400012000000
FUNDING,BTCUSDT-PERP.BINANCE,-20.06496805 USDT,,funding_settlement:3a9c4fd8-4450-489c-8991-b9bfd1291297,1613635200000000000
FUNDING,BTCUSDT-PERP.BINANCE,-16.25184734 USDT,,funding_settlement:adb8f754-88c3-461c-9663-2d1968fa42f0,1613664000009000000
FUNDING,BTCUSDT-PERP.BINANCE,-11.77421516 USDT,,funding_settlement:4663b767-dca8-4a5e-8df3-37e03dc6d7e7,1613692800010000000
FUNDING,BTCUSDT-PERP.BINANCE,-10.95209299 USDT,,funding_settlement:ef2242bb-f25f-4847-a407-1318d5e61809,1613721600002000000
FUNDING,BTCUSDT-PERP.BINANCE,-17.36641227 USDT,,funding_settlement:d0f57976-e3c0-4638-b865-3ff1dcfbd595,1613750400008000000
