adjustment_type,instrument_id,pnl_change,quantity_change,reason,ts_event
FUNDING,BTCUSDT-PERP.BINANCE,-5.84752858 USDT,,funding_settlement:e505db0d-2fe3-4c6a-8266-791f71c5fa2e,1612771200001000000
FUNDING,BTCUSDT-PERP.BINANCE,-28.01051646 USDT,,funding_settlement:af2d1090-415d-4c57-8fb7-e799a3dcbc59,1612800000000000000
FUNDING,BTCUSDT-PERP.BINANCE,-15.64162747 USDT,,funding_settlement:b6aa2f88-4859-43f8-8821-bf22cc9fe505,1612828800010000000
FUNDING,BTCUSDT-PERP.BINANCE,-22.83547684 USDT,,funding_settlement:9914ae37-7ff9-4c29-8d7d-32b07870f55f,1612857600006000000
FUNDING,BTCUSDT-PERP.BINANCE,-19.40725504 USDT,,funding_settlement:5ae98a98-0dc0-4e06-a8ab-2af516f88e73,1612886400007000000
FUNDING,BTCUSDT-PERP.BINANCE,-14.86101807 USDT,,funding_settlement:5f8a36ed-758b-4042-b2ba-05572e4e9610,1612915200009000000
FUNDING,BTCUSDT-PERP.BINANCE,-21.03456096 USDT,,funding_settlement:eb90f4a6-054d-4628-a7c1-4e5c1af76c51,1612944000014000000
FUNDING,BTCUSDT-PERP.BINANCE,-12.81492569 USDT,,funding_settlement:b17e90e9-b792-4c61-86e2-2d9d28b5726e,1612972800005000000
FUNDING,BTCUSDT-PERP.BINANCE,-8.84847424 USDT,,funding_settlement:3dc08e2d-ece1-492e-9654-d478ec396e0d,1613001600000000000
FUNDING,BTCUSDT-PERP.BINANCE,-9.55584424 USDT,,funding_settlement:1987eb4e-5efc-4186-bf17-f5016d3ba79e,1613030400000000000
FUNDING,BTCUSDT-PERP.BINANCE,-21.51336086 USDT,,funding_settlement:19969e12-8823-4cbc-bd5e-56829652da6c,1613059200000000000
FUNDING,BTCUSDT-PERP.BINANCE,-15.90880133 USDT,,funding_settlement:92d4adfe-ed73-4955-b831-a8c220de6d97,1613088000000000000
FUNDING,BTCUSDT-PERP.BINANCE,-15.30149633 USDT,,funding_settlement:025ebc23-31d8-4e39-b56f-ad34fd5cf0ec,1613116800000000000
FUNDING,BTCUSDT-PERP.BINANCE,-12.76471322 USDT,,funding_settlement:e840ab6b-cec1-4f64-bbb2-8df143d1275d,1613145600000000000
FUNDING,BTCUSDT-PERP.BINANCE,-17.04738213 USDT,,funding_settlement:6c1c593a-a8d6-4c67-8a6e-702cfe976574,1613174400001000000
FUNDING,BTCUSDT-PERP.BINANCE,-17.12093878 USDT,,funding_settlement:0a9a5dee-abfb-410c-be11-69d5a442d9a9,1613203200003000000
FUNDING,BTCUSDT-PERP.BINANCE,-9.19894555 USDT,,funding_settlement:e3e7d36c-fdad-4b44-bfad-609091d7c9d5,1613232000000000000
