adjustment_type,instrument_id,pnl_change,quantity_change,reason,ts_event
FUNDING,BTCUSDT-PERP.BINANCE,-1.18315753 USDT,,funding_settlement:7ef9d376-6827-4253-9b44-39d76e626f4d,1612771200001000000
FUNDING,BTCUSDT-PERP.BINANCE,-5.66749749 USDT,,funding_settlement:66d1ffac-1ddd-4b41-8d5e-2371296fd4aa,1612800000000000000
FUNDING,BTCUSDT-PERP.BINANCE,-3.16484291 USDT,,funding_settlement:d5afd704-4027-4f8c-84b9-d7cf7e8d8557,1612828800010000000
FUNDING,BTCUSDT-PERP.BINANCE,-4.62040777 USDT,,funding_settlement:e66e0e8b-fb50-48f4-bba0-8eed5f925c74,1612857600006000000
FUNDING,BTCUSDT-PERP.BINANCE,-3.92675978 USDT,,funding_settlement:4f0320da-205a-4038-a7b9-9957bf58c171,1612886400007000000
FUNDING,BTCUSDT-PERP.BINANCE,-3.00689860 USDT,,funding_settlement:c33c4f14-1042-4c23-839c-ba3073c26b26,1612915200009000000
FUNDING,BTCUSDT-PERP.BINANCE,-4.25602012 USDT,,funding_settlement:f07c8934-7903-456d-b67b-d17bae654f64,1612944000014000000
FUNDING,BTCUSDT-PERP.BINANCE,-2.59290325 USDT,,funding_settlement:a57c902e-1a58-4d94-b748-7718735eb558,1612972800005000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.79035277 USDT,,funding_settlement:c73ed0b3-9c6f-49cb-8680-ddbeea2114d2,1613001600000000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.93347821 USDT,,funding_settlement:a210524b-2ee2-4c51-8a80-1f160d46ed6e,1613030400000000000
FUNDING,BTCUSDT-PERP.BINANCE,-4.35289792 USDT,,funding_settlement:4a7bc8c1-cfa5-4edc-af0f-102956470cab,1613059200000000000
FUNDING,BTCUSDT-PERP.BINANCE,-3.21890144 USDT,,funding_settlement:a17e05f0-5728-4f25-ab70-f4354556b646,1613088000000000000
FUNDING,BTCUSDT-PERP.BINANCE,-3.09602260 USDT,,funding_settlement:1ad37c29-1788-46fa-9e39-62aaf172890b,1613116800000000000
