adjustment_type,instrument_id,pnl_change,quantity_change,reason,ts_event
FUNDING,BTCUSDT-PERP.BINANCE,-5.84752858 USDT,,funding_settlement:8d48f7f8-4573-487f-9794-a626ad9c0213,1612771200001000000
FUNDING,BTCUSDT-PERP.BINANCE,-28.01051646 USDT,,funding_settlement:f8f4813f-aeab-443f-9815-1344aab35f10,1612800000000000000
FUNDING,BTCUSDT-PERP.BINANCE,-15.64162747 USDT,,funding_settlement:dfcf11e1-4320-4b58-9f10-e08ddc54aca0,1612828800010000000
FUNDING,BTCUSDT-PERP.BINANCE,-22.83547684 USDT,,funding_settlement:9af2ad7f-7835-4fde-b55f-e6d8b386fc2a,1612857600006000000
FUNDING,BTCUSDT-PERP.BINANCE,-19.40725504 USDT,,funding_settlement:7f8da71e-a5ab-4bf3-b9b7-6ca8d72c42e1,1612886400007000000
FUNDING,BTCUSDT-PERP.BINANCE,-14.86101807 USDT,,funding_settlement:cc51d64a-1f31-4e59-9b6b-311b9b3b738d,1612915200009000000
FUNDING,BTCUSDT-PERP.BINANCE,-21.03456096 USDT,,funding_settlement:0c38cb56-21ff-432f-908b-a1b34769350d,1612944000014000000
FUNDING,BTCUSDT-PERP.BINANCE,-12.81492569 USDT,,funding_settlement:b5571562-f411-4c31-8a12-b507d4cab55f,1612972800005000000
FUNDING,BTCUSDT-PERP.BINANCE,-8.84847424 USDT,,funding_settlement:1264c18f-bdcf-43fb-8211-af6326b4274a,1613001600000000000
FUNDING,BTCUSDT-PERP.BINANCE,-9.55584424 USDT,,funding_settlement:af31fd10-5410-48f4-9c82-1a384bd48d29,1613030400000000000
FUNDING,BTCUSDT-PERP.BINANCE,-21.51336086 USDT,,funding_settlement:378b972f-b928-46d0-bcb6-2b11c8ade0c6,1613059200000000000
FUNDING,BTCUSDT-PERP.BINANCE,-15.90880133 USDT,,funding_settlement:a92f5e36-8400-4b1f-a743-0f0da5618751,1613088000000000000
FUNDING,BTCUSDT-PERP.BINANCE,-15.30149633 USDT,,funding_settlement:c41db8ce-097a-44c7-bc4f-0ba0fda62112,1613116800000000000
FUNDING,BTCUSDT-PERP.BINANCE,-12.76471322 USDT,,funding_settlement:a069b3be-4ca2-4e22-8972-a12a6a4ac65e,1613145600000000000
FUNDING,BTCUSDT-PERP.BINANCE,-17.04738213 USDT,,funding_settlement:80a73479-4b09-4bba-8efd-74b4bb99d927,1613174400001000000
FUNDING,BTCUSDT-PERP.BINANCE,-17.12093878 USDT,,funding_settlement:f8bb6113-1f92-4573-b831-0b2eb3fe7a31,1613203200003000000
FUNDING,BTCUSDT-PERP.BINANCE,-9.19894555 USDT,,funding_settlement:91bb7073-2d4a-41ac-9569-1cb9223e893b,1613232000000000000
FUNDING,BTCUSDT-PERP.BINANCE,-10.32139033 USDT,,funding_settlement:bd8510ee-5226-4307-8a23-a52d088560a9,1613260800013000000
FUNDING,BTCUSDT-PERP.BINANCE,-18.34365098 USDT,,funding_settlement:ab2d1f65-f81f-45c0-9820-ad5232997cd0,1613289600000000000
FUNDING,BTCUSDT-PERP.BINANCE,-18.68863196 USDT,,funding_settlement:3bcd6a77-3e11-4885-8d32-f9b618d2c442,1613318400008000000
FUNDING,BTCUSDT-PERP.BINANCE,-14.74284230 USDT,,funding_settlement:2adeedff-1fc0-498b-ab35-e46f3bfdd7d2,1613347200000000000
FUNDING,BTCUSDT-PERP.BINANCE,-4.80184430 USDT,,funding_settlement:bd41fecb-ebc4-49d0-b142-3fd546d464af,1613376000006000000
FUNDING,BTCUSDT-PERP.BINANCE,-8.17512367 USDT,,funding_settlement:388f0862-c7c9-409e-8449-02fce669a1c3,1613404800000000000
FUNDING,BTCUSDT-PERP.BINANCE,-11.94712458 USDT,,funding_settlement:95962d5a-60ff-4064-a54a-cb643d9b64a9,1613433600001000000
FUNDING,BTCUSDT-PERP.BINANCE,-15.20184112 USDT,,funding_settlement:aa8db08e-afb2-4271-9213-877cbc17b989,1613462400000000000
FUNDING,BTCUSDT-PERP.BINANCE,-17.38478435 USDT,,funding_settlement:f5fc3d3d-3d97-4565-bf14-b81740ece5a1,1613491200010000000
FUNDING,BTCUSDT-PERP.BINANCE,-12.80577919 USDT,,funding_settlement:b017fbdd-d774-4051-bfc4-f4e4d53f7191,1613520000005000000
FUNDING,BTCUSDT-PERP.BINANCE,-11.95468537 USDT,,funding_settlement:bedf4c9b-6aa8-449c-b527-e4947af7febf,1613548800010000000
FUNDING,BTCUSDT-PERP.BINANCE,-18.83810719 USDT,,funding_settlement:d84bb0fd-cde8-44cd-9145-7955edac1f92,1613577600008000000
