adjustment_type,instrument_id,pnl_change,quantity_change,reason,ts_event
FUNDING,BTCUSDT-PERP.BINANCE,-0.73716650 USDT,,funding_settlement:9b9dedd5-b9d2-4ede-8a6d-a5af9fe77364,1612166400014000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.28681798 USDT,,funding_settlement:0791829f-e0f1-4396-ab0b-5c8dfff9f007,1612195200000000000
FUNDING,BTCUSDT-PERP.BINANCE,-0.71567970 USDT,,funding_settlement:44621ec5-d71e-4a6a-8e39-4f6d17f52c4f,1612224000000000000
FUNDING,BTCUSDT-PERP.BINANCE,-0.88011544 USDT,,funding_settlement:e5bee5d2-f0aa-45d4-b949-cca9b6e6eb52,1612252800006000000
FUNDING,BTCUSDT-PERP.BINANCE,-2.46261616 USDT,,funding_settlement:2774e356-752e-4622-b794-65e5be07f77f,1612281600000000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.59235221 USDT,,funding_settlement:c3166273-7e95-4581-95cd-a06a178510ef,1612310400009000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.70324564 USDT,,funding_settlement:107c42ed-d2b7-495a-b5b8-898c3959bee4,1612339200006000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.61103343 USDT,,funding_settlement:5b61dd57-462f-4548-a39f-74330155e05c,1612368000006000000
FUNDING,BTCUSDT-PERP.BINANCE,-0.63467247 USDT,,funding_settlement:9af89250-e1cf-4c3a-b055-29d90ca594a7,1612396800005000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.63183588 USDT,,funding_settlement:1e881795-0ff4-457b-a621-a3e6521fda61,1612425600000000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.31485249 USDT,,funding_settlement:f2d535fe-8d31-4ee9-9ad1-348a949c2e62,1612454400011000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.21516237 USDT,,funding_settlement:a0b7142d-c308-4dac-a3eb-343fafd55236,1612483200009000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.63623976 USDT,,funding_settlement:b2e15c7c-a283-43c3-be2c-99216833693b,1612512000004000000
FUNDING,BTCUSDT-PERP.BINANCE,-2.18503786 USDT,,funding_settlement:7c7f5371-80e8-49a7-ad07-7ab79096fce4,1612540800000000000
FUNDING,BTCUSDT-PERP.BINANCE,-0.77313940 USDT,,funding_settlement:953874c8-ea7b-49cc-8e2e-5e840137b703,1612569600008000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.59562115 USDT,,funding_settlement:71d22da8-8fec-4954-b463-af6573020a29,1612598400009000000
FUNDING,BTCUSDT-PERP.BINANCE,-2.42766823 USDT,,funding_settlement:a9c310cd-6453-4b44-9139-dcabd9391dcc,1612627200000000000
FUNDING,BTCUSDT-PERP.BINANCE,-3.54109220 USDT,,funding_settlement:8d11336b-13c9-4c02-ab81-951b10a5ac36,1612656000000000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.47538330 USDT,,funding_settlement:25879091-e59b-491f-aed7-d735e53ed32a,1612684800005000000
FUNDING,BTCUSDT-PERP.BINANCE,-2.33819676 USDT,,funding_settlement:c5c357fe-7516-4cda-bf1a-b8e7451a8eef,1612713600001000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.33522261 USDT,,funding_settlement:a7480429-a833-40fa-8b5b-b6debed0a6b0,1612742400000000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.22866359 USDT,,funding_settlement:abe4e3b3-a287-4c9f-b98d-976abe32f6fb,1612771200001000000
FUNDING,BTCUSDT-PERP.BINANCE,-5.88547817 USDT,,funding_settlement:81959ce0-29fa-4401-b065-2e652680fffb,1612800000000000000
FUNDING,BTCUSDT-PERP.BINANCE,-3.28656764 USDT,,funding_settlement:24f4fdeb-1b72-4a4d-83ea-c71a42f19ed6,1612828800010000000
FUNDING,BTCUSDT-PERP.BINANCE,-4.79811576 USDT,,funding_settlement:a188f5cb-7b38-4e2c-b559-32f405cb9fb7,1612857600006000000
FUNDING,BTCUSDT-PERP.BINANCE,-4.07778900 USDT,,funding_settlement:4f099c2a-a96f-4c66-aeb5-aae1d2339200,1612886400007000000
FUNDING,BTCUSDT-PERP.BINANCE,-3.12254854 USDT,,funding_settlement:ced33459-adfc-44fa-819f-02a0adf6d919,1612915200009000000
FUNDING,BTCUSDT-PERP.BINANCE,-4.41971320 USDT,,funding_settlement:5e94de12-86b1-4eeb-bdfe-512bc71b0007,1612944000014000000
FUNDING,BTCUSDT-PERP.BINANCE,-2.69263030 USDT,,funding_settlement:40d85225-e93e-473e-a34e-d7799ae6ad08,1612972800005000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.85921249 USDT,,funding_settlement:ea8a7b0f-e4e8-4089-a74a-b0bd777ae2e6,1613001600000000000
FUNDING,BTCUSDT-PERP.BINANCE,-2.00784276 USDT,,funding_settlement:e03805da-a742-4db8-b7c3-b9ab9370efed,1613030400000000000
FUNDING,BTCUSDT-PERP.BINANCE,-4.52031707 USDT,,funding_settlement:8fe3ab4d-fa0f-4cf1-81e1-90b582cd8246,1613059200000000000
FUNDING,BTCUSDT-PERP.BINANCE,-3.34270534 USDT,,funding_settlement:18879a01-27e9-4503-ae8e-4e2a7591f969,1613088000000000000
FUNDING,BTCUSDT-PERP.BINANCE,-3.21510040 USDT,,funding_settlement:e094f11e-d7bc-4ccf-8b1a-d294ef8f5bd5,1613116800000000000
FUNDING,BTCUSDT-PERP.BINANCE,-2.68207982 USDT,,funding_settlement:1c5119f9-2a25-4cf4-a3d1-aedf0749fc5b,1613145600000000000
FUNDING,BTCUSDT-PERP.BINANCE,-3.58194021 USDT,,funding_settlement:b535d89c-8e4e-4c6d-8f9f-a57ff814ea90,1613174400001000000
FUNDING,BTCUSDT-PERP.BINANCE,-3.59739570 USDT,,funding_settlement:43bbd4cf-3aee-4429-84c2-f471531cf4be,1613203200003000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.93285237 USDT,,funding_settlement:28b616fb-6753-4510-98d8-dad40e05ca9e,1613232000000000000
FUNDING,BTCUSDT-PERP.BINANCE,-2.16869680 USDT,,funding_settlement:43a63fb7-2236-40be-9da5-b93e317304aa,1613260800013000000
FUNDING,BTCUSDT-PERP.BINANCE,-3.85430799 USDT,,funding_settlement:727673df-ca23-4224-aaf4-33379cdf697a,1613289600000000000
FUNDING,BTCUSDT-PERP.BINANCE,-3.92679426 USDT,,funding_settlement:eda9369c-f17d-4dc5-a856-149087baf23e,1613318400008000000
FUNDING,BTCUSDT-PERP.BINANCE,-3.09771784 USDT,,funding_settlement:5b16b552-6955-4594-aee9-76a77e5b9dd6,1613347200000000000
FUNDING,BTCUSDT-PERP.BINANCE,-0.78750246 USDT,,funding_settlement:cce171d2-1088-47b4-aefe-9468d7719947,1613376000006000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.34072028 USDT,,funding_settlement:84c683a3-10cd-4e41-b9f0-57453ba87569,1613404800000000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.95932843 USDT,,funding_settlement:73432a1b-112c-407f-9ac2-8d30c16d3e6f,1613433600001000000
FUNDING,BTCUSDT-PERP.BINANCE,-2.49310194 USDT,,funding_settlement:afcb8a90-7ff7-42c4-8ee7-53c7b0931ccf,1613462400000000000
FUNDING,BTCUSDT-PERP.BINANCE,-2.85110463 USDT,,funding_settlement:8dd8ffef-28cc-4f8a-9e98-d3b5d8220a60,1613491200010000000
FUNDING,BTCUSDT-PERP.BINANCE,-2.10014779 USDT,,funding_settlement:a3ba9b74-9d86-420f-b40f-aa787a10bdb4,1613520000005000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.96056840 USDT,,funding_settlement:1e9e550a-97f3-453e-bf4b-1b64babd52ab,1613548800010000000
FUNDING,BTCUSDT-PERP.BINANCE,-3.08944958 USDT,,funding_settlement:0df736cb-34a5-40a6-b220-9f0c8c44534d,1613577600008000000
FUNDING,BTCUSDT-PERP.BINANCE,-2.83010084 USDT,,funding_settlement:0efc6ab3-0c17-45b4-8205-18ed3ccf84bc,1613606400012000000
FUNDING,BTCUSDT-PERP.BINANCE,-3.29065476 USDT,,funding_settlement:29f2b1f6-6a06-4930-a346-a7a20eeb9a14,1613635200000000000
FUNDING,BTCUSDT-PERP.BINANCE,-2.66530296 USDT,,funding_settlement:e804091c-19ee-42fc-8656-21ab49816f73,1613664000009000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.93097129 USDT,,funding_settlement:8cfbba2b-fb58-4494-bb9f-dc1bd3ae16e1,1613692800010000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.79614325 USDT,,funding_settlement:ae0c269c-a6d2-4c9a-b112-7c45c7100f2f,1613721600002000000
FUNDING,BTCUSDT-PERP.BINANCE,-2.84809161 USDT,,funding_settlement:6191d029-bef6-4fd8-a408-417b468f7aba,1613750400008000000
FUNDING,BTCUSDT-PERP.BINANCE,-3.58797241 USDT,,funding_settlement:2b14a3a7-62fe-4916-9285-c4e79549fc75,1613779200000000000
FUNDING,BTCUSDT-PERP.BINANCE,-2.64069213 USDT,,funding_settlement:cc8d4f84-15f5-4633-a4b2-09372cab054a,1613808000009000000
FUNDING,BTCUSDT-PERP.BINANCE,-2.82332487 USDT,,funding_settlement:b3fd0b3a-e6e3-4845-a1b7-7b5ab17a5d87,1613836800000000000
FUNDING,BTCUSDT-PERP.BINANCE,-2.30158557 USDT,,funding_settlement:fdcaf69c-ca9a-412e-b035-2703e484bf13,1613865600007000000
FUNDING,BTCUSDT-PERP.BINANCE,-2.27939422 USDT,,funding_settlement:2897070a-64a9-466c-87a5-c57b756f0d3a,1613894400012000000
