adjustment_type,instrument_id,pnl_change,quantity_change,reason,ts_event
FUNDING,BTCUSDT-PERP.BINANCE,-1.18315753 USDT,,funding_settlement:b99fb1ee-e674-425b-9ccc-93a429df0b8c,1612771200001000000
FUNDING,BTCUSDT-PERP.BINANCE,-5.66749749 USDT,,funding_settlement:8f7a76c4-f8f0-41ef-95b0-3c16ecbbbef4,1612800000000000000
FUNDING,BTCUSDT-PERP.BINANCE,-3.16484291 USDT,,funding_settlement:dbf0b75f-5d8c-4b43-83dc-42094c1648c5,1612828800010000000
FUNDING,BTCUSDT-PERP.BINANCE,-4.62040777 USDT,,funding_settlement:42ef2bac-c664-4bd6-ba53-1871453f7d8a,1612857600006000000
FUNDING,BTCUSDT-PERP.BINANCE,-3.92675978 USDT,,funding_settlement:86f93a2a-f020-4dc6-a728-b99815f82b37,1612886400007000000
FUNDING,BTCUSDT-PERP.BINANCE,-3.00689860 USDT,,funding_settlement:15a458c0-c3da-45c9-a9a6-e7d69671a123,1612915200009000000
FUNDING,BTCUSDT-PERP.BINANCE,-4.25602012 USDT,,funding_settlement:3dbb5faa-61e6-4656-bc5d-5c3dafe0d747,1612944000014000000
FUNDING,BTCUSDT-PERP.BINANCE,-2.59290325 USDT,,funding_settlement:1949693e-d535-4848-a291-e9b9e04be1a4,1612972800005000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.79035277 USDT,,funding_settlement:9de8d4ed-f423-4ede-82fe-e0846a5e3e89,1613001600000000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.93347821 USDT,,funding_settlement:94be96f7-150d-4be1-ace2-75e4abad5599,1613030400000000000
FUNDING,BTCUSDT-PERP.BINANCE,-4.35289792 USDT,,funding_settlement:118cea48-1d39-4899-be59-b9cb2c883a2f,1613059200000000000
FUNDING,BTCUSDT-PERP.BINANCE,-3.21890144 USDT,,funding_settlement:c6b5def4-7c3c-498f-9dc2-21a117609199,1613088000000000000
FUNDING,BTCUSDT-PERP.BINANCE,-3.09602260 USDT,,funding_settlement:46dc0c92-f929-431b-aa28-87e7e7c176b8,1613116800000000000
FUNDING,BTCUSDT-PERP.BINANCE,-2.58274353 USDT,,funding_settlement:74d05f13-1a1e-416c-9d03-5c30f08bba3f,1613145600000000000
FUNDING,BTCUSDT-PERP.BINANCE,-3.44927576 USDT,,funding_settlement:e3ccc4ef-45f7-4654-96fb-abbd1fad042f,1613174400001000000
FUNDING,BTCUSDT-PERP.BINANCE,-3.46415882 USDT,,funding_settlement:b0d98e25-5837-4296-97c7-4743baf58951,1613203200003000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.86126525 USDT,,funding_settlement:d53151aa-c212-4fb9-a04f-ef1897e4a4f4,1613232000000000000
FUNDING,BTCUSDT-PERP.BINANCE,-2.08837470 USDT,,funding_settlement:d92d0f9d-ec24-41a9-a95d-a680a6efda04,1613260800013000000
FUNDING,BTCUSDT-PERP.BINANCE,-3.71155584 USDT,,funding_settlement:0976bf78-9fa6-4299-95df-125469fe3d7e,1613289600000000000
FUNDING,BTCUSDT-PERP.BINANCE,-3.78135744 USDT,,funding_settlement:8f768570-1af9-4bc3-845d-11cd4d96de70,1613318400008000000
FUNDING,BTCUSDT-PERP.BINANCE,-2.98298755 USDT,,funding_settlement:bf8688ee-6c42-45c9-b3bd-7a0ecb3e63af,1613347200000000000
FUNDING,BTCUSDT-PERP.BINANCE,-0.76829509 USDT,,funding_settlement:3817a7c1-0446-4322-bc18-e814764574ac,1613376000006000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.30801979 USDT,,funding_settlement:06013aaf-71a4-4b06-9f31-d9d84d60acaa,1613404800000000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.91153993 USDT,,funding_settlement:23b20c5c-cf2e-4ee3-8e08-b6317abc1a06,1613433600001000000
