adjustment_type,instrument_id,pnl_change,quantity_change,reason,ts_event
FUNDING,BTCUSDT-PERP.BINANCE,-1.18315753 USDT,,funding_settlement:7eeff0a6-c224-472c-af55-518124f12221,1612771200001000000
FUNDING,BTCUSDT-PERP.BINANCE,-5.66749749 USDT,,funding_settlement:331e44ae-d0c7-47a8-b42c-a2e4e16a404c,1612800000000000000
FUNDING,BTCUSDT-PERP.BINANCE,-3.16484291 USDT,,funding_settlement:8ba1a117-c398-44cb-86ff-51fccd51ac5f,1612828800010000000
FUNDING,BTCUSDT-PERP.BINANCE,-4.62040777 USDT,,funding_settlement:08ed1196-ebc7-4f13-8911-865ae50a3020,1612857600006000000
FUNDING,BTCUSDT-PERP.BINANCE,-3.92675978 USDT,,funding_settlement:d186a714-ffa7-4017-aa74-9efc5831027a,1612886400007000000
FUNDING,BTCUSDT-PERP.BINANCE,-3.00689860 USDT,,funding_settlement:16b56808-794b-4753-aa2d-cecbf8303248,1612915200009000000
FUNDING,BTCUSDT-PERP.BINANCE,-4.25602012 USDT,,funding_settlement:c0f14e47-4a6a-4cae-87c2-ade579d4806a,1612944000014000000
FUNDING,BTCUSDT-PERP.BINANCE,-2.59290325 USDT,,funding_settlement:eef50a63-7e33-401f-a3fe-fdeea176f28a,1612972800005000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.79035277 USDT,,funding_settlement:cfecaecd-a858-4d47-81ec-e98b14c65f3d,1613001600000000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.93347821 USDT,,funding_settlement:4ca9a351-106e-4d77-a15d-91afd02f8af7,1613030400000000000
FUNDING,BTCUSDT-PERP.BINANCE,-4.35289792 USDT,,funding_settlement:5f94fcd6-df5f-47ff-912f-516d854116fc,1613059200000000000
FUNDING,BTCUSDT-PERP.BINANCE,-3.21890144 USDT,,funding_settlement:08b6bf12-407c-41ed-9d4e-ae84a1af614b,1613088000000000000
FUNDING,BTCUSDT-PERP.BINANCE,-3.09602260 USDT,,funding_settlement:2d72ba96-581a-4e70-b00a-a39479b1e4e1,1613116800000000000
FUNDING,BTCUSDT-PERP.BINANCE,-2.58274353 USDT,,funding_settlement:13c53570-aff1-433b-a09e-354ade778ddf,1613145600000000000
FUNDING,BTCUSDT-PERP.BINANCE,-3.44927576 USDT,,funding_settlement:a29085ee-8104-4f28-9e35-baf3b8ab699d,1613174400001000000
FUNDING,BTCUSDT-PERP.BINANCE,-3.46415882 USDT,,funding_settlement:69b3451d-cee4-4b82-9247-7394c97033a5,1613203200003000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.86126525 USDT,,funding_settlement:d0c92b18-db83-4a47-855f-67ae39370d37,1613232000000000000
FUNDING,BTCUSDT-PERP.BINANCE,-2.08837470 USDT,,funding_settlement:6feccaeb-a51d-4c16-9a11-22e5729fdf35,1613260800013000000
FUNDING,BTCUSDT-PERP.BINANCE,-3.71155584 USDT,,funding_settlement:44f8f8bc-2cc3-4372-99ba-17205117c631,1613289600000000000
FUNDING,BTCUSDT-PERP.BINANCE,-3.78135744 USDT,,funding_settlement:7162e277-11cc-4a2a-9605-c50c5ff76c90,1613318400008000000
FUNDING,BTCUSDT-PERP.BINANCE,-2.98298755 USDT,,funding_settlement:e7ceaf7f-0a37-4432-8b43-385ab5ab348c,1613347200000000000
FUNDING,BTCUSDT-PERP.BINANCE,-0.76829509 USDT,,funding_settlement:22812708-752e-4086-bc45-ae03f9406c0f,1613376000006000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.30801979 USDT,,funding_settlement:526dc165-454b-4ac5-87d5-3d8cc15eb1cc,1613404800000000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.91153993 USDT,,funding_settlement:423d4467-ae29-4a61-bde7-1164126e513d,1613433600001000000
FUNDING,BTCUSDT-PERP.BINANCE,-2.43229458 USDT,,funding_settlement:a28a1969-89cd-48b4-a15f-f2689bee5fd3,1613462400000000000
FUNDING,BTCUSDT-PERP.BINANCE,-2.78156550 USDT,,funding_settlement:9a0aa941-3e47-4a83-b784-8aac8ea5086d,1613491200010000000
FUNDING,BTCUSDT-PERP.BINANCE,-2.04892467 USDT,,funding_settlement:8f99a3a7-94b6-4b88-93ea-e3aa82cc6daa,1613520000005000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.91274966 USDT,,funding_settlement:4b3d672d-7015-41d3-b8eb-ff8632fe5069,1613548800010000000
