adjustment_type,instrument_id,pnl_change,quantity_change,reason,ts_event
FUNDING,BTCUSDT-PERP.BINANCE,-5.84752858 USDT,,funding_settlement:6206c0ae-7ea8-4d3b-a494-58bb7678e002,1612771200001000000
FUNDING,BTCUSDT-PERP.BINANCE,-28.01051646 USDT,,funding_settlement:36318af8-122e-4c44-97d9-60343efdf979,1612800000000000000
FUNDING,BTCUSDT-PERP.BINANCE,-15.64162747 USDT,,funding_settlement:d8bdd9ce-5ac2-42b1-8aa3-c66ae0ac3770,1612828800010000000
FUNDING,BTCUSDT-PERP.BINANCE,-22.83547684 USDT,,funding_settlement:2d9b5f89-614a-4fbd-8219-f8e8cf895cf9,1612857600006000000
FUNDING,BTCUSDT-PERP.BINANCE,-19.40725504 USDT,,funding_settlement:4587dba7-daf3-49ce-8828-581979135aea,1612886400007000000
FUNDING,BTCUSDT-PERP.BINANCE,-14.86101807 USDT,,funding_settlement:fbbe2676-41b7-4199-b1ff-e1b66505b043,1612915200009000000
FUNDING,BTCUSDT-PERP.BINANCE,-21.03456096 USDT,,funding_settlement:cc6ee730-e3a1-43df-8c5e-ec5cbe82b51d,1612944000014000000
FUNDING,BTCUSDT-PERP.BINANCE,-12.81492569 USDT,,funding_settlement:321b5d45-65ee-433b-b90a-2a1ced81f645,1612972800005000000
FUNDING,BTCUSDT-PERP.BINANCE,-8.84847424 USDT,,funding_settlement:a9830eea-ed76-4aae-b790-d6862026d23f,1613001600000000000
FUNDING,BTCUSDT-PERP.BINANCE,-9.55584424 USDT,,funding_settlement:e2e29734-78d2-4118-8fd9-9798fdb290d3,1613030400000000000
FUNDING,BTCUSDT-PERP.BINANCE,-21.51336086 USDT,,funding_settlement:5a13a5b8-6875-4160-9334-b878a44ee1ba,1613059200000000000
FUNDING,BTCUSDT-PERP.BINANCE,-15.90880133 USDT,,funding_settlement:9e98484e-70c6-4ee1-aaa7-d7ce8f646a2c,1613088000000000000
FUNDING,BTCUSDT-PERP.BINANCE,-15.30149633 USDT,,funding_settlement:6c3c79a3-ea19-4335-a49b-9df3bfc1d0f5,1613116800000000000
FUNDING,BTCUSDT-PERP.BINANCE,-12.76471322 USDT,,funding_settlement:672dd6ca-8d61-4c5b-b4a9-82c2ce347a8c,1613145600000000000
FUNDING,BTCUSDT-PERP.BINANCE,-17.04738213 USDT,,funding_settlement:7c22a71d-570b-4793-97f1-cfc653816cee,1613174400001000000
FUNDING,BTCUSDT-PERP.BINANCE,-17.12093878 USDT,,funding_settlement:f53dd5c9-939d-4b09-aae0-b9e76d6d8ebc,1613203200003000000
FUNDING,BTCUSDT-PERP.BINANCE,-9.19894555 USDT,,funding_settlement:844c86f4-03f0-4a6a-b417-f01937cf8a21,1613232000000000000
FUNDING,BTCUSDT-PERP.BINANCE,-10.32139033 USDT,,funding_settlement:e8351016-14cd-4773-a471-2400af109eb9,1613260800013000000
FUNDING,BTCUSDT-PERP.BINANCE,-18.34365098 USDT,,funding_settlement:df95100f-0976-47ff-a392-924612771b43,1613289600000000000
FUNDING,BTCUSDT-PERP.BINANCE,-18.68863196 USDT,,funding_settlement:da049cb0-e869-4093-b5a7-38233f558cbc,1613318400008000000
FUNDING,BTCUSDT-PERP.BINANCE,-14.74284230 USDT,,funding_settlement:e176717b-6d73-4c54-9893-1c3a0a6dc729,1613347200000000000
FUNDING,BTCUSDT-PERP.BINANCE,-4.80184430 USDT,,funding_settlement:19ebb359-d2e2-4b7a-8420-eaf105fabc17,1613376000006000000
FUNDING,BTCUSDT-PERP.BINANCE,-8.17512367 USDT,,funding_settlement:63b27f96-6ee2-460d-9cb5-bcc7fe2b1f6a,1613404800000000000
FUNDING,BTCUSDT-PERP.BINANCE,-11.94712458 USDT,,funding_settlement:53c7e54e-bd2e-4a54-9905-3ba2c3fff790,1613433600001000000
FUNDING,BTCUSDT-PERP.BINANCE,-15.20184112 USDT,,funding_settlement:c4ff063b-5316-4e94-a5d9-51538a409c58,1613462400000000000
FUNDING,BTCUSDT-PERP.BINANCE,-17.38478435 USDT,,funding_settlement:83018baf-6a26-47d8-b88e-0afb1f4a5017,1613491200010000000
FUNDING,BTCUSDT-PERP.BINANCE,-12.80577919 USDT,,funding_settlement:393a9815-107d-4069-888d-3f35287fdc99,1613520000005000000
FUNDING,BTCUSDT-PERP.BINANCE,-11.95468537 USDT,,funding_settlement:fa5bab12-ced6-4d2f-bd48-3593992f88f0,1613548800010000000
FUNDING,BTCUSDT-PERP.BINANCE,-18.83810719 USDT,,funding_settlement:9f0225cc-a6a9-49e6-b90e-061059e5655e,1613577600008000000
FUNDING,BTCUSDT-PERP.BINANCE,-17.25671244 USDT,,funding_settlement:480c392e-3022-41c6-8682-38c9a3dc1524,1613606400012000000
FUNDING,BTCUSDT-PERP.BINANCE,-20.06496805 USDT,,funding_settlement:316df862-878f-4069-99aa-e5bd35073f9a,1613635200000000000
FUNDING,BTCUSDT-PERP.BINANCE,-16.25184734 USDT,,funding_settlement:65daba35-cc6b-4a47-9802-2dd80b2b34e3,1613664000009000000
FUNDING,BTCUSDT-PERP.BINANCE,-11.77421516 USDT,,funding_settlement:da1937b5-8d10-4ef1-bd14-217abc360054,1613692800010000000
FUNDING,BTCUSDT-PERP.BINANCE,-10.95209299 USDT,,funding_settlement:21fc2d0a-22c8-4306-a1d1-585cbe666b6b,1613721600002000000
FUNDING,BTCUSDT-PERP.BINANCE,-17.36641227 USDT,,funding_settlement:7cb4f630-2ffb-4f95-ae4b-33049fa4b0ed,1613750400008000000
FUNDING,BTCUSDT-PERP.BINANCE,-21.87788054 USDT,,funding_settlement:3e20add5-fb7b-434d-8a47-f39c5278859c,1613779200000000000
FUNDING,BTCUSDT-PERP.BINANCE,-16.10178130 USDT,,funding_settlement:0d2f207f-de91-4268-8ec5-c3ff7b54c1c1,1613808000009000000
FUNDING,BTCUSDT-PERP.BINANCE,-17.21539553 USDT,,funding_settlement:ad9294c0-34b6-4053-a743-0cb2f50b249d,1613836800000000000
FUNDING,BTCUSDT-PERP.BINANCE,-14.03405836 USDT,,funding_settlement:8dc7da14-cf81-414c-9716-7153b016a7a0,1613865600007000000
FUNDING,BTCUSDT-PERP.BINANCE,-13.89874525 USDT,,funding_settlement:0690234f-abd0-43d3-a159-841cc75f4dec,1613894400012000000
FUNDING,BTCUSDT-PERP.BINANCE,-18.05198121 USDT,,funding_settlement:fa2cf1bb-f9e5-4a94-a66b-895a7e698e1b,1613923200001000000
FUNDING,BTCUSDT-PERP.BINANCE,-16.81701508 USDT,,funding_settlement:55b4a99b-b979-4d34-8827-942196e4491f,1613952000006000000
FUNDING,BTCUSDT-PERP.BINANCE,-12.70514822 USDT,,funding_settlement:8a85ebac-9013-4383-b2db-e2800c6feb34,1613980800002000000
FUNDING,BTCUSDT-PERP.BINANCE,-10.16616270 USDT,,funding_settlement:76502761-e035-40ac-a825-a6fb657f3a4d,1614009600000000000
FUNDING,BTCUSDT-PERP.BINANCE,-3.30748970 USDT,,funding_settlement:f3065c17-bc07-4df3-9c43-d847ca453056,1614038400000000000
FUNDING,BTCUSDT-PERP.BINANCE,-3.60695501 USDT,,funding_settlement:5afd1d05-409c-4421-b7f3-1c8f1272709f,1614067200006000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.58191780 USDT,,funding_settlement:6697bc5a-c278-423b-8376-c531deac04c5,1614096000000000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.19888436 USDT,,funding_settlement:87d6bc36-2f00-4649-b8e6-e975c661df13,1614124800012000000
FUNDING,BTCUSDT-PERP.BINANCE,-6.36051227 USDT,,funding_settlement:8a3f572f-8251-4555-a883-328677c62db8,1614153600016000000
FUNDING,BTCUSDT-PERP.BINANCE,-4.55437329 USDT,,funding_settlement:51caea32-f962-446f-8c61-770db47f4b22,1614182400011000000
FUNDING,BTCUSDT-PERP.BINANCE,-2.15619710 USDT,,funding_settlement:09979aa8-81d7-4fff-b6d8-6aee6a9ed335,1614211200007000000
FUNDING,BTCUSDT-PERP.BINANCE,-2.25388122 USDT,,funding_settlement:39a6602e-5fac-4041-afe1-e57decaa6622,1614240000000000000
FUNDING,BTCUSDT-PERP.BINANCE,-4.24374331 USDT,,funding_settlement:21db4e31-7b95-4dc5-83cb-d4e73c731b63,1614268800010000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.15390758 USDT,,funding_settlement:46e38d4d-1f01-41b8-b318-3254b6de4a72,1614297600000000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.10073684 USDT,,funding_settlement:4376b426-5ee4-419b-a4ac-86e439dc6fdc,1614326400025000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.16653492 USDT,,funding_settlement:1625df48-ff46-47dc-b7f2-88b1ff6faf3a,1614355200010000000
FUNDING,BTCUSDT-PERP.BINANCE,-3.42308039 USDT,,funding_settlement:dbbc95f1-0af6-4cba-8b2e-802f02b653dc,1614384000001000000
FUNDING,BTCUSDT-PERP.BINANCE,-5.15373542 USDT,,funding_settlement:5fbdf902-3a47-40da-b501-e69e398d1b6e,1614412800000000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.14514721 USDT,,funding_settlement:8878ec81-fff1-4e6a-9b8f-a94187d7429e,1614441600000000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.12988610 USDT,,funding_settlement:779acffd-2de5-4717-9e73-b876050e19a8,1614470400021000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.08884296 USDT,,funding_settlement:ea864792-ded1-478f-a216-e0d6a49de33c,1614499200009000000
FUNDING,BTCUSDT-PERP.BINANCE,-4.01273398 USDT,,funding_settlement:9a883bb3-e173-4626-a176-1592f57a2c7e,1614528000000000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.87345168 USDT,,funding_settlement:15843297-bc54-4ec1-bd93-8c81b1be04fa,1614556800000000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.12502804 USDT,,funding_settlement:255dbcd3-bceb-4771-94d8-f3821e2e4869,1614585600003000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.19497868 USDT,,funding_settlement:7d8d71ab-a1a4-4b66-98c9-cf386d444966,1614614400001000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.20480806 USDT,,funding_settlement:1c6bd64b-386f-4157-a04d-ab3438d76069,1614643200000000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.17523038 USDT,,funding_settlement:79f397db-35d9-44a0-b393-eaa8e594b463,1614672000000000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.18300614 USDT,,funding_settlement:36cc288e-c7d9-446d-bfa2-032ff48e3034,1614700800004000000
