adjustment_type,instrument_id,pnl_change,quantity_change,reason,ts_event
FUNDING,BTCUSDT-PERP.BINANCE,-3.82563994 USDT,,funding_settlement:d376af93-b020-4ecb-82df-54935d015a61,1612166400014000000
FUNDING,BTCUSDT-PERP.BINANCE,-6.67814160 USDT,,funding_settlement:bc56be65-fbcc-45ff-bfe6-0d51d09071fd,1612195200000000000
FUNDING,BTCUSDT-PERP.BINANCE,-3.71413087 USDT,,funding_settlement:babd6d02-6ca4-43ce-b851-496f0a5d4f95,1612224000000000000
FUNDING,BTCUSDT-PERP.BINANCE,-4.56749566 USDT,,funding_settlement:d90709cb-6569-416f-aa24-d9beff144ef6,1612252800006000000
FUNDING,BTCUSDT-PERP.BINANCE,-12.78012871 USDT,,funding_settlement:30fb0777-4589-4d11-bf47-01dc4e3fe4c1,1612281600000000000
FUNDING,BTCUSDT-PERP.BINANCE,-8.26375889 USDT,,funding_settlement:f8035dcc-0778-4ee2-8482-f6e9f2510c78,1612310400009000000
FUNDING,BTCUSDT-PERP.BINANCE,-8.83925756 USDT,,funding_settlement:06cfea2a-9627-48ea-a9d9-cece1b7e06b2,1612339200006000000
FUNDING,BTCUSDT-PERP.BINANCE,-8.36070798 USDT,,funding_settlement:b6561a4a-cf8a-4c8a-b13b-83fba4cc0b4b,1612368000006000000
FUNDING,BTCUSDT-PERP.BINANCE,-3.29373125 USDT,,funding_settlement:53b8d9ef-a102-46c0-b369-258a53bef78d,1612396800005000000
FUNDING,BTCUSDT-PERP.BINANCE,-8.46866550 USDT,,funding_settlement:5eb33cf5-b628-4bef-aba6-9faf9634def3,1612425600000000000
FUNDING,BTCUSDT-PERP.BINANCE,-6.82363101 USDT,,funding_settlement:495526b7-9031-437e-a9f5-dd0d2c0926b4,1612454400011000000
FUNDING,BTCUSDT-PERP.BINANCE,-6.30627370 USDT,,funding_settlement:8def77e7-0b9c-4598-a4ec-857803285093,1612483200009000000
FUNDING,BTCUSDT-PERP.BINANCE,-8.49152014 USDT,,funding_settlement:36f3185d-35b0-443c-aa11-e8ac8d632418,1612512000004000000
FUNDING,BTCUSDT-PERP.BINANCE,-11.33959303 USDT,,funding_settlement:69404750-41b5-41c7-984b-6a65a039689f,1612540800000000000
FUNDING,BTCUSDT-PERP.BINANCE,-4.01232690 USDT,,funding_settlement:5b3141de-65f4-4e22-ae6d-696d1aae2ad5,1612569600008000000
FUNDING,BTCUSDT-PERP.BINANCE,-8.28072357 USDT,,funding_settlement:e48dea90-3546-4d39-8bef-906918173991,1612598400009000000
FUNDING,BTCUSDT-PERP.BINANCE,-12.59876101 USDT,,funding_settlement:bf06593f-a43a-4fb9-a64a-37435ebcfc8b,1612627200000000000
FUNDING,BTCUSDT-PERP.BINANCE,-18.37704745 USDT,,funding_settlement:15c9bade-4478-4eb9-a6b2-bb057c404563,1612656000000000000
FUNDING,BTCUSDT-PERP.BINANCE,-7.65673059 USDT,,funding_settlement:bad86913-b758-4536-ab30-191dc4b3d5eb,1612684800005000000
FUNDING,BTCUSDT-PERP.BINANCE,-12.13443490 USDT,,funding_settlement:acd9d723-eebd-431e-9729-82330451c890,1612713600001000000
FUNDING,BTCUSDT-PERP.BINANCE,-6.92934494 USDT,,funding_settlement:11f03eed-e996-4b47-90a6-43f9c20be70c,1612742400000000000
FUNDING,BTCUSDT-PERP.BINANCE,-6.75764976 USDT,,funding_settlement:9bd1af5c-5847-4dbe-a36b-5d8e69c496c6,1612771200001000000
FUNDING,BTCUSDT-PERP.BINANCE,-32.37012992 USDT,,funding_settlement:acc3c5bf-61cd-4403-8f60-a272af5dc543,1612800000000000000
FUNDING,BTCUSDT-PERP.BINANCE,-18.07612202 USDT,,funding_settlement:1bb3ba6d-2ec3-4752-9fa3-0388cec96915,1612828800010000000
FUNDING,BTCUSDT-PERP.BINANCE,-26.38963666 USDT,,funding_settlement:06a72acd-af3c-4366-abbb-c92c2a760f2d,1612857600006000000
FUNDING,BTCUSDT-PERP.BINANCE,-22.42783949 USDT,,funding_settlement:68b2b8c8-70eb-4b1d-aec5-b25e5feba58c,1612886400007000000
FUNDING,BTCUSDT-PERP.BINANCE,-17.17401700 USDT,,funding_settlement:d070b411-9316-4e52-bc05-8f3a3016f83b,1612915200009000000
FUNDING,BTCUSDT-PERP.BINANCE,-24.30842259 USDT,,funding_settlement:c63bfe10-f905-4830-ba50-9863ff7f7167,1612944000014000000
FUNDING,BTCUSDT-PERP.BINANCE,-14.80946665 USDT,,funding_settlement:3cc44374-3b92-4d4a-8329-21fc98848ae1,1612972800005000000
FUNDING,BTCUSDT-PERP.BINANCE,-10.22566868 USDT,,funding_settlement:0d3f44ee-fd74-40f5-891b-b1818ea183d8,1613001600000000000
FUNDING,BTCUSDT-PERP.BINANCE,-11.04313517 USDT,,funding_settlement:7f7b3293-88b2-4033-8272-3a8d0c6d7fc3,1613030400000000000
FUNDING,BTCUSDT-PERP.BINANCE,-24.86174387 USDT,,funding_settlement:43405766-aaa5-465b-9bd2-6034bb2369b4,1613059200000000000
FUNDING,BTCUSDT-PERP.BINANCE,-18.38487935 USDT,,funding_settlement:af8bec85-f991-4be0-8e07-526620413a9d,1613088000000000000
FUNDING,BTCUSDT-PERP.BINANCE,-17.68305218 USDT,,funding_settlement:0de841de-d579-477d-9ac5-f19be1bb612a,1613116800000000000
FUNDING,BTCUSDT-PERP.BINANCE,-14.75143901 USDT,,funding_settlement:06e83484-273d-413f-952e-892f90dd2f83,1613145600000000000
FUNDING,BTCUSDT-PERP.BINANCE,-19.70067118 USDT,,funding_settlement:ba33560f-60bf-4dfa-8abf-836db0d193fa,1613174400001000000
FUNDING,BTCUSDT-PERP.BINANCE,-19.78567633 USDT,,funding_settlement:50775a2e-3fb5-42d3-80cc-8531d8f5725b,1613203200003000000
FUNDING,BTCUSDT-PERP.BINANCE,-10.63068805 USDT,,funding_settlement:4bd968f9-25e3-42ee-81b7-b52fe54e6703,1613232000000000000
FUNDING,BTCUSDT-PERP.BINANCE,-11.92783241 USDT,,funding_settlement:ab28c3aa-4735-4be8-89db-45fe637656b7,1613260800013000000
FUNDING,BTCUSDT-PERP.BINANCE,-21.19869393 USDT,,funding_settlement:c11d6646-c54a-48a7-aa93-c3b529ccecb6,1613289600000000000
