adjustment_type,instrument_id,pnl_change,quantity_change,reason,ts_event
FUNDING,BTCUSDT-PERP.BINANCE,-3.82563994 USDT,,funding_settlement:2e9efd3b-5b75-49e9-9f88-e8944a75b887,1612166400014000000
FUNDING,BTCUSDT-PERP.BINANCE,-6.67814160 USDT,,funding_settlement:fbf0a21f-eca6-46b6-a439-7bc471106b2a,1612195200000000000
FUNDING,BTCUSDT-PERP.BINANCE,-3.71413087 USDT,,funding_settlement:40368d40-1ecb-45a7-95d5-2782031dff62,1612224000000000000
FUNDING,BTCUSDT-PERP.BINANCE,-4.56749566 USDT,,funding_settlement:e45bd7e4-90b1-4220-91f6-7267de2e75aa,1612252800006000000
FUNDING,BTCUSDT-PERP.BINANCE,-12.78012871 USDT,,funding_settlement:157d007c-b325-490a-adcd-a039b294b4f0,1612281600000000000
FUNDING,BTCUSDT-PERP.BINANCE,-8.26375889 USDT,,funding_settlement:171f68f8-53c3-4ba3-9cb8-94f62e9cd955,1612310400009000000
FUNDING,BTCUSDT-PERP.BINANCE,-8.83925756 USDT,,funding_settlement:42429516-19f8-40ea-8b2a-e2495e5345cd,1612339200006000000
FUNDING,BTCUSDT-PERP.BINANCE,-8.36070798 USDT,,funding_settlement:a268af53-503d-4129-92cb-0d7546a2b855,1612368000006000000
FUNDING,BTCUSDT-PERP.BINANCE,-3.29373125 USDT,,funding_settlement:d4a2677d-9739-4753-9c6f-5a48135c49de,1612396800005000000
FUNDING,BTCUSDT-PERP.BINANCE,-8.46866550 USDT,,funding_settlement:5a6e5371-bb95-4d6a-a61b-fb725c3981c1,1612425600000000000
FUNDING,BTCUSDT-PERP.BINANCE,-6.82363101 USDT,,funding_settlement:99aecf23-3376-4683-a1ca-793714e2bfc2,1612454400011000000
FUNDING,BTCUSDT-PERP.BINANCE,-6.30627370 USDT,,funding_settlement:91571ed5-38aa-4a27-93d6-12e24350998c,1612483200009000000
FUNDING,BTCUSDT-PERP.BINANCE,-8.49152014 USDT,,funding_settlement:1d0fb359-49f6-4164-a24a-df4c47c87ea1,1612512000004000000
FUNDING,BTCUSDT-PERP.BINANCE,-11.33959303 USDT,,funding_settlement:3befaa43-f88d-4a69-96ad-96d1c5cf7f1b,1612540800000000000
FUNDING,BTCUSDT-PERP.BINANCE,-4.01232690 USDT,,funding_settlement:f310eb28-b109-475e-bc6a-eeb03a70e152,1612569600008000000
FUNDING,BTCUSDT-PERP.BINANCE,-8.28072357 USDT,,funding_settlement:19496b0f-876d-4aaa-a8bc-0b22fd59c24b,1612598400009000000
FUNDING,BTCUSDT-PERP.BINANCE,-12.59876101 USDT,,funding_settlement:17f8bcc2-7ff0-4474-b4ea-443a67849e7f,1612627200000000000
FUNDING,BTCUSDT-PERP.BINANCE,-18.37704745 USDT,,funding_settlement:13c36d55-d654-483b-9c43-ece98761e396,1612656000000000000
FUNDING,BTCUSDT-PERP.BINANCE,-7.65673059 USDT,,funding_settlement:db4e31a8-c064-4510-a507-28a0bd43f9fd,1612684800005000000
FUNDING,BTCUSDT-PERP.BINANCE,-12.13443490 USDT,,funding_settlement:9d853b13-7a0f-406c-b5cd-7c54c85ce5cb,1612713600001000000
FUNDING,BTCUSDT-PERP.BINANCE,-6.92934494 USDT,,funding_settlement:656e4de4-2061-4048-aa30-dc22ed1eb8f8,1612742400000000000
FUNDING,BTCUSDT-PERP.BINANCE,-6.75764976 USDT,,funding_settlement:6e48db0c-f7b4-4b1a-9060-53d4577437cd,1612771200001000000
FUNDING,BTCUSDT-PERP.BINANCE,-32.37012992 USDT,,funding_settlement:0214dc73-9b36-41b1-b1e7-e3d337d161a1,1612800000000000000
FUNDING,BTCUSDT-PERP.BINANCE,-18.07612202 USDT,,funding_settlement:86a2e25c-e530-498b-b33e-d74415e471d7,1612828800010000000
FUNDING,BTCUSDT-PERP.BINANCE,-26.38963666 USDT,,funding_settlement:8d896f8a-8f8b-4e04-8218-cd5ac9947ef7,1612857600006000000
FUNDING,BTCUSDT-PERP.BINANCE,-22.42783949 USDT,,funding_settlement:5e4a7f69-9d06-4a5f-97f8-bef89aa17bda,1612886400007000000
FUNDING,BTCUSDT-PERP.BINANCE,-17.17401700 USDT,,funding_settlement:387ed693-909b-4856-91cd-bbdf5eee339a,1612915200009000000
FUNDING,BTCUSDT-PERP.BINANCE,-24.30842259 USDT,,funding_settlement:3c2e0b10-db81-44a9-8592-4d558d542b2d,1612944000014000000
FUNDING,BTCUSDT-PERP.BINANCE,-14.80946665 USDT,,funding_settlement:27630359-8ae8-4182-abc3-e26110462416,1612972800005000000
FUNDING,BTCUSDT-PERP.BINANCE,-10.22566868 USDT,,funding_settlement:5d56cd12-2655-4456-adfb-884ded0acd39,1613001600000000000
FUNDING,BTCUSDT-PERP.BINANCE,-11.04313517 USDT,,funding_settlement:ba31a8cd-3500-425b-91f8-1c241bb4e140,1613030400000000000
FUNDING,BTCUSDT-PERP.BINANCE,-24.86174387 USDT,,funding_settlement:74d7532d-2697-4eab-8dbb-0b5a6e4165e1,1613059200000000000
FUNDING,BTCUSDT-PERP.BINANCE,-18.38487935 USDT,,funding_settlement:6606171d-fe04-4e32-9ece-b85f6a1776cd,1613088000000000000
FUNDING,BTCUSDT-PERP.BINANCE,-17.68305218 USDT,,funding_settlement:7a7f1f0f-3729-48df-a8ee-55d920ddac54,1613116800000000000
FUNDING,BTCUSDT-PERP.BINANCE,-14.75143901 USDT,,funding_settlement:64c5ffef-31dc-4f50-b3e8-e5d8896eab0f,1613145600000000000
FUNDING,BTCUSDT-PERP.BINANCE,-19.70067118 USDT,,funding_settlement:d17fa2cc-eeb1-4eea-85db-42b034fc2959,1613174400001000000
FUNDING,BTCUSDT-PERP.BINANCE,-19.78567633 USDT,,funding_settlement:dbc61b36-db16-40a6-88d5-a749116ef1ac,1613203200003000000
FUNDING,BTCUSDT-PERP.BINANCE,-10.63068805 USDT,,funding_settlement:be5d3a18-c163-4f06-a3d8-669a23f6d43a,1613232000000000000
FUNDING,BTCUSDT-PERP.BINANCE,-11.92783241 USDT,,funding_settlement:29c948f3-e11e-41d2-bee2-a4c20de80687,1613260800013000000
FUNDING,BTCUSDT-PERP.BINANCE,-21.19869393 USDT,,funding_settlement:fcc7617e-ab11-41c8-9ff8-0603659c176f,1613289600000000000
FUNDING,BTCUSDT-PERP.BINANCE,-21.59736845 USDT,,funding_settlement:b2e4330d-6915-4ff2-a5d2-41c6fea4e11f,1613318400008000000
FUNDING,BTCUSDT-PERP.BINANCE,-17.03744810 USDT,,funding_settlement:f40a9b82-142f-4f4d-b2ce-9a82e5fbf71a,1613347200000000000
FUNDING,BTCUSDT-PERP.BINANCE,-5.55093201 USDT,,funding_settlement:2f750d72-d65c-4d15-9f8d-db24800462e2,1613376000006000000
FUNDING,BTCUSDT-PERP.BINANCE,-9.45044296 USDT,,funding_settlement:f5ea4a67-7d9f-4da7-8cb5-078c3084c60b,1613404800000000000
FUNDING,BTCUSDT-PERP.BINANCE,-13.81087601 USDT,,funding_settlement:075e75ca-110d-422e-a71b-8564253542d8,1613433600001000000
FUNDING,BTCUSDT-PERP.BINANCE,-17.57332833 USDT,,funding_settlement:a4d9d237-4764-43f7-b467-190dd2b4b179,1613462400000000000
FUNDING,BTCUSDT-PERP.BINANCE,-20.09681071 USDT,,funding_settlement:ab0952af-73ec-480c-9bcd-10409b5cdc48,1613491200010000000
