adjustment_type,instrument_id,pnl_change,quantity_change,reason,ts_event
FUNDING,BTCUSDT-PERP.BINANCE,-3.82563994 USDT,,funding_settlement:96ac6c15-e927-48f2-8d85-bf9e1c2d22e6,1612166400014000000
FUNDING,BTCUSDT-PERP.BINANCE,-6.67814160 USDT,,funding_settlement:dfb42045-ce7a-41db-97bf-ed516cd6ae5f,1612195200000000000
FUNDING,BTCUSDT-PERP.BINANCE,-3.71413087 USDT,,funding_settlement:ed94a83e-3da0-46c2-8804-b0f64be51e57,1612224000000000000
FUNDING,BTCUSDT-PERP.BINANCE,-4.56749566 USDT,,funding_settlement:34dd98c3-47b2-4a0b-93a0-9c92564d6623,1612252800006000000
FUNDING,BTCUSDT-PERP.BINANCE,-12.78012871 USDT,,funding_settlement:cce7118c-bf40-4c40-8343-17ac20853d85,1612281600000000000
FUNDING,BTCUSDT-PERP.BINANCE,-8.26375889 USDT,,funding_settlement:fc0b0a7a-7e81-42ef-b2dc-864d712e7667,1612310400009000000
FUNDING,BTCUSDT-PERP.BINANCE,-8.83925756 USDT,,funding_settlement:656b6ec1-ed1b-4045-af95-c8d71e651be0,1612339200006000000
FUNDING,BTCUSDT-PERP.BINANCE,-8.36070798 USDT,,funding_settlement:57d9a7ab-f885-4fd0-835e-2f28479fac9f,1612368000006000000
FUNDING,BTCUSDT-PERP.BINANCE,-3.29373125 USDT,,funding_settlement:cb30f593-02b2-468e-aceb-55f2fae1da74,1612396800005000000
FUNDING,BTCUSDT-PERP.BINANCE,-8.46866550 USDT,,funding_settlement:82c8b727-d9aa-42b6-a137-8e2cf2c22054,1612425600000000000
FUNDING,BTCUSDT-PERP.BINANCE,-6.82363101 USDT,,funding_settlement:73e4b557-9472-4407-b682-3075e782654c,1612454400011000000
FUNDING,BTCUSDT-PERP.BINANCE,-6.30627370 USDT,,funding_settlement:7afaf830-a2c4-4d43-807b-fb06e99b6278,1612483200009000000
FUNDING,BTCUSDT-PERP.BINANCE,-8.49152014 USDT,,funding_settlement:a7c373ff-9d4e-439c-8c6a-ba17d5611134,1612512000004000000
FUNDING,BTCUSDT-PERP.BINANCE,-11.33959303 USDT,,funding_settlement:6cf7429b-2ffa-484c-a852-aa5f8d9de998,1612540800000000000
FUNDING,BTCUSDT-PERP.BINANCE,-4.01232690 USDT,,funding_settlement:44500f95-6c32-447d-9d96-084fee8ab472,1612569600008000000
FUNDING,BTCUSDT-PERP.BINANCE,-8.28072357 USDT,,funding_settlement:ec0a0c34-adf5-4c69-9c5c-cf6b16b7ce84,1612598400009000000
FUNDING,BTCUSDT-PERP.BINANCE,-12.59876101 USDT,,funding_settlement:c3c476d0-4546-4d07-91f9-232a8f5ddb5d,1612627200000000000
FUNDING,BTCUSDT-PERP.BINANCE,-18.37704745 USDT,,funding_settlement:182bb0ea-1023-4ced-840c-8f63783184a9,1612656000000000000
FUNDING,BTCUSDT-PERP.BINANCE,-7.65673059 USDT,,funding_settlement:01c00e5b-9c37-409a-b3c4-cb81deae5c9b,1612684800005000000
FUNDING,BTCUSDT-PERP.BINANCE,-12.13443490 USDT,,funding_settlement:1b68ee93-1ab6-4c75-b28d-8899ad43d5bd,1612713600001000000
FUNDING,BTCUSDT-PERP.BINANCE,-6.92934494 USDT,,funding_settlement:bbd56803-de18-40f8-884b-cfd0b06db543,1612742400000000000
FUNDING,BTCUSDT-PERP.BINANCE,-6.75764976 USDT,,funding_settlement:24ffc6ea-041c-4a2e-9bf0-ea493e04cab2,1612771200001000000
FUNDING,BTCUSDT-PERP.BINANCE,-32.37012992 USDT,,funding_settlement:fd10e90e-e8fa-4bac-a59c-2faaf4a20b7c,1612800000000000000
FUNDING,BTCUSDT-PERP.BINANCE,-18.07612202 USDT,,funding_settlement:9d19100f-bdb2-4164-8fb4-c34a2eb1b180,1612828800010000000
FUNDING,BTCUSDT-PERP.BINANCE,-26.38963666 USDT,,funding_settlement:aea4e3e4-48f0-4706-9e85-4a36bec11b17,1612857600006000000
FUNDING,BTCUSDT-PERP.BINANCE,-22.42783949 USDT,,funding_settlement:fbea0234-caec-407e-8a26-faf487c7f4bf,1612886400007000000
FUNDING,BTCUSDT-PERP.BINANCE,-17.17401700 USDT,,funding_settlement:4459b988-feb5-4d20-994f-84d9cb3f17e9,1612915200009000000
FUNDING,BTCUSDT-PERP.BINANCE,-24.30842259 USDT,,funding_settlement:8d18f76d-dde7-407c-a90c-88e54f3d3776,1612944000014000000
FUNDING,BTCUSDT-PERP.BINANCE,-14.80946665 USDT,,funding_settlement:655050d4-75fc-431b-b7c0-7e21eaccd85e,1612972800005000000
FUNDING,BTCUSDT-PERP.BINANCE,-10.22566868 USDT,,funding_settlement:8a82dfea-9be8-49da-a522-ca5850b2c0c2,1613001600000000000
FUNDING,BTCUSDT-PERP.BINANCE,-11.04313517 USDT,,funding_settlement:3ed4bc1c-a079-476d-a081-45849eb65ad0,1613030400000000000
FUNDING,BTCUSDT-PERP.BINANCE,-24.86174387 USDT,,funding_settlement:a52a9421-561c-45ad-90cb-6c30151ae74a,1613059200000000000
FUNDING,BTCUSDT-PERP.BINANCE,-18.38487935 USDT,,funding_settlement:fe09f204-b586-408a-907d-2e6d57e46301,1613088000000000000
FUNDING,BTCUSDT-PERP.BINANCE,-17.68305218 USDT,,funding_settlement:8b6dd8c7-e8b2-464c-8cb2-faae6a972f75,1613116800000000000
FUNDING,BTCUSDT-PERP.BINANCE,-14.75143901 USDT,,funding_settlement:01c85766-89c8-491a-9113-6561c09c748e,1613145600000000000
FUNDING,BTCUSDT-PERP.BINANCE,-19.70067118 USDT,,funding_settlement:2e6169f4-6a40-4e57-a754-f34d12eae945,1613174400001000000
FUNDING,BTCUSDT-PERP.BINANCE,-19.78567633 USDT,,funding_settlement:f21381db-32d9-45da-be14-01d12b7864ac,1613203200003000000
FUNDING,BTCUSDT-PERP.BINANCE,-10.63068805 USDT,,funding_settlement:bdc6759f-2fa6-4631-a4a6-cd27bff6bf03,1613232000000000000
FUNDING,BTCUSDT-PERP.BINANCE,-11.92783241 USDT,,funding_settlement:6c4ed7e6-c4eb-4330-85c7-f270ca0761ee,1613260800013000000
FUNDING,BTCUSDT-PERP.BINANCE,-21.19869393 USDT,,funding_settlement:3d65ec18-348a-4a6f-ae75-4ea3f53cab35,1613289600000000000
FUNDING,BTCUSDT-PERP.BINANCE,-21.59736845 USDT,,funding_settlement:13b26b78-e26b-4656-a416-25123c941dfe,1613318400008000000
FUNDING,BTCUSDT-PERP.BINANCE,-17.03744810 USDT,,funding_settlement:1bdf3002-1970-4afe-a79c-f521e642d076,1613347200000000000
FUNDING,BTCUSDT-PERP.BINANCE,-5.55093201 USDT,,funding_settlement:8d443900-ebfd-493f-bc16-9559a4f5c2cf,1613376000006000000
FUNDING,BTCUSDT-PERP.BINANCE,-9.45044296 USDT,,funding_settlement:62c74864-35fa-4ca9-93f1-29934f88cafb,1613404800000000000
FUNDING,BTCUSDT-PERP.BINANCE,-13.81087601 USDT,,funding_settlement:909bac5f-d7a4-42b8-9adc-808a14c1da71,1613433600001000000
FUNDING,BTCUSDT-PERP.BINANCE,-17.57332833 USDT,,funding_settlement:d8fa9eb3-9b43-40cd-bf9a-f2776dffeb9b,1613462400000000000
FUNDING,BTCUSDT-PERP.BINANCE,-20.09681071 USDT,,funding_settlement:bd9a02c6-2760-44c9-8c75-036c5a5eb298,1613491200010000000
FUNDING,BTCUSDT-PERP.BINANCE,-14.80348074 USDT,,funding_settlement:01ba7c42-9cb4-4e10-b052-0bbd7764a436,1613520000005000000
FUNDING,BTCUSDT-PERP.BINANCE,-13.81961629 USDT,,funding_settlement:0d13c85c-fa86-4831-a9ee-faed2fecaf81,1613548800010000000
FUNDING,BTCUSDT-PERP.BINANCE,-21.77685191 USDT,,funding_settlement:f17bbc9c-b1c2-4e4c-ae2f-6964b8c0c72c,1613577600008000000
FUNDING,BTCUSDT-PERP.BINANCE,-19.94875959 USDT,,funding_settlement:8bf6e0e6-c54c-426a-98ee-71a567c12905,1613606400012000000
FUNDING,BTCUSDT-PERP.BINANCE,-23.19510307 USDT,,funding_settlement:c7c9fb36-57b4-4df9-a07e-46c69b5552db,1613635200000000000
FUNDING,BTCUSDT-PERP.BINANCE,-18.78713552 USDT,,funding_settlement:86f9f90b-925b-4043-a4b9-034fd554ab5d,1613664000009000000
FUNDING,BTCUSDT-PERP.BINANCE,-13.61099272 USDT,,funding_settlement:064f0aa1-6f42-4add-8eed-7295d1937cfe,1613692800010000000
FUNDING,BTCUSDT-PERP.BINANCE,-12.66061949 USDT,,funding_settlement:e6e0f3c5-a372-44ef-8889-022a0308a24a,1613721600002000000
FUNDING,BTCUSDT-PERP.BINANCE,-20.07557259 USDT,,funding_settlement:de7fe57d-a83a-4b78-8534-967ae95b87c6,1613750400008000000
FUNDING,BTCUSDT-PERP.BINANCE,-25.29082990 USDT,,funding_settlement:63cabe7b-b92b-4a78-90a8-73e98d30fa6d,1613779200000000000
FUNDING,BTCUSDT-PERP.BINANCE,-18.61365918 USDT,,funding_settlement:b2499c60-06fb-4d4b-9485-d1beb15d5a0a,1613808000009000000
FUNDING,BTCUSDT-PERP.BINANCE,-19.90099723 USDT,,funding_settlement:394ba669-e8d1-48a9-b23b-d8f0851bcfb7,1613836800000000000
FUNDING,BTCUSDT-PERP.BINANCE,-16.22337147 USDT,,funding_settlement:6492ee2d-b2dc-4aeb-b437-acdf34970ae9,1613865600007000000
FUNDING,BTCUSDT-PERP.BINANCE,-16.06694951 USDT,,funding_settlement:dc6ebe6b-91d5-409b-b92e-a432bc03815d,1613894400012000000
