adjustment_type,instrument_id,pnl_change,quantity_change,reason,ts_event
FUNDING,BTCUSDT-PERP.BINANCE,-0.73716650 USDT,,funding_settlement:2a97e96e-7d99-4b2b-afae-7e9de118e690,1612166400014000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.28681798 USDT,,funding_settlement:497a460a-3ba3-4549-b48e-5ef4d76b3041,1612195200000000000
FUNDING,BTCUSDT-PERP.BINANCE,-0.71567970 USDT,,funding_settlement:7fc50259-6e79-4a30-b472-b46c73088ef5,1612224000000000000
FUNDING,BTCUSDT-PERP.BINANCE,-0.88011544 USDT,,funding_settlement:d8b89ff0-215f-45c0-b785-a61eb1cb7c0b,1612252800006000000
FUNDING,BTCUSDT-PERP.BINANCE,-2.46261616 USDT,,funding_settlement:badb4252-3da1-478a-baf2-fc6ce0392cb1,1612281600000000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.59235221 USDT,,funding_settlement:59a7a27e-2f18-45da-b98f-fa496b9fb074,1612310400009000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.70324564 USDT,,funding_settlement:dfce2712-6978-4863-9b33-57b1fbf1657e,1612339200006000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.61103343 USDT,,funding_settlement:4b622ab9-abe0-4a65-a238-5d59d0566f67,1612368000006000000
FUNDING,BTCUSDT-PERP.BINANCE,-0.63467247 USDT,,funding_settlement:272e0679-8cac-4ba0-aaa5-c45c5a4c6de3,1612396800005000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.63183588 USDT,,funding_settlement:4bac6b41-0519-4878-9db3-b7482bdce48a,1612425600000000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.31485249 USDT,,funding_settlement:fdb649f1-1c18-4d94-8c77-d740d1f25737,1612454400011000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.21516237 USDT,,funding_settlement:d2d68469-cc3d-4e5e-9e1e-c33ad16a1825,1612483200009000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.63623976 USDT,,funding_settlement:62504357-cca8-468e-868d-3a74a15e2393,1612512000004000000
FUNDING,BTCUSDT-PERP.BINANCE,-2.18503786 USDT,,funding_settlement:9959a5fd-33f1-451f-949b-d9ee12073f27,1612540800000000000
FUNDING,BTCUSDT-PERP.BINANCE,-0.77313940 USDT,,funding_settlement:8cf90875-2303-46a4-ba41-99819583f1d8,1612569600008000000
