adjustment_type,instrument_id,pnl_change,quantity_change,reason,ts_event
FUNDING,BTCUSDT-PERP.BINANCE,-3.82563994 USDT,,funding_settlement:0d1a5c82-f25d-4180-b1ac-7528f9fac064,1612166400014000000
FUNDING,BTCUSDT-PERP.BINANCE,-6.67814160 USDT,,funding_settlement:2ca26086-e4b7-4176-8588-da1b81fb435e,1612195200000000000
FUNDING,BTCUSDT-PERP.BINANCE,-3.71413087 USDT,,funding_settlement:414103e8-65c8-4320-a88c-9538f0a44e48,1612224000000000000
FUNDING,BTCUSDT-PERP.BINANCE,-4.56749566 USDT,,funding_settlement:96eac40f-1a23-44e0-bd0f-97b173ca5fe2,1612252800006000000
FUNDING,BTCUSDT-PERP.BINANCE,-12.78012871 USDT,,funding_settlement:67b20883-7c33-4c9f-bc08-16f2d5ae841c,1612281600000000000
FUNDING,BTCUSDT-PERP.BINANCE,-8.26375889 USDT,,funding_settlement:5b814b2c-5165-420a-a504-aa364f40de13,1612310400009000000
FUNDING,BTCUSDT-PERP.BINANCE,-8.83925756 USDT,,funding_settlement:6fea1615-e328-41ca-ba08-db2f74a80e37,1612339200006000000
FUNDING,BTCUSDT-PERP.BINANCE,-8.36070798 USDT,,funding_settlement:83b2de79-b82f-4a42-b454-2b4088488953,1612368000006000000
FUNDING,BTCUSDT-PERP.BINANCE,-3.29373125 USDT,,funding_settlement:5b22b65a-a9e1-4724-b5e0-ed6b93eb0e38,1612396800005000000
FUNDING,BTCUSDT-PERP.BINANCE,-8.46866550 USDT,,funding_settlement:3706540f-119e-4741-8356-a9b8d963e69b,1612425600000000000
FUNDING,BTCUSDT-PERP.BINANCE,-6.82363101 USDT,,funding_settlement:6b2422a7-b3f1-4cb1-bebf-8949821ec862,1612454400011000000
FUNDING,BTCUSDT-PERP.BINANCE,-6.30627370 USDT,,funding_settlement:a4f47998-1263-4307-b8e5-97b42dc9c97f,1612483200009000000
FUNDING,BTCUSDT-PERP.BINANCE,-8.49152014 USDT,,funding_settlement:c10e5c26-0157-423e-be77-e7d4d41376a4,1612512000004000000
FUNDING,BTCUSDT-PERP.BINANCE,-11.33959303 USDT,,funding_settlement:486287fd-5646-40b7-b1bb-10940ca16301,1612540800000000000
FUNDING,BTCUSDT-PERP.BINANCE,-4.01232690 USDT,,funding_settlement:a84bfb6b-704e-479e-9e6d-34ce5c56b21f,1612569600008000000
FUNDING,BTCUSDT-PERP.BINANCE,-8.28072357 USDT,,funding_settlement:14de576c-6b60-4bd3-ade1-7a8b65a8a98a,1612598400009000000
FUNDING,BTCUSDT-PERP.BINANCE,-12.59876101 USDT,,funding_settlement:298b8dff-841b-4596-bcaa-02ece24da3e6,1612627200000000000
FUNDING,BTCUSDT-PERP.BINANCE,-18.37704745 USDT,,funding_settlement:0958b459-77d5-46f8-a2d3-e2f3745c0ae0,1612656000000000000
FUNDING,BTCUSDT-PERP.BINANCE,-7.65673059 USDT,,funding_settlement:18d5fde9-628e-44db-92af-3231b7d345a6,1612684800005000000
FUNDING,BTCUSDT-PERP.BINANCE,-12.13443490 USDT,,funding_settlement:c20ee4a4-5768-4b59-835c-1580483586c7,1612713600001000000
FUNDING,BTCUSDT-PERP.BINANCE,-6.92934494 USDT,,funding_settlement:4d4801fb-1fe1-4419-97aa-fd738323c044,1612742400000000000
FUNDING,BTCUSDT-PERP.BINANCE,-6.75764976 USDT,,funding_settlement:3d960dae-5d84-4b92-8de4-fb043b583dee,1612771200001000000
FUNDING,BTCUSDT-PERP.BINANCE,-32.37012992 USDT,,funding_settlement:01283ffe-df4e-4531-a469-35b7c0b005f0,1612800000000000000
FUNDING,BTCUSDT-PERP.BINANCE,-18.07612202 USDT,,funding_settlement:d7a5cc27-c567-4f22-a350-78b2b252eef2,1612828800010000000
FUNDING,BTCUSDT-PERP.BINANCE,-26.38963666 USDT,,funding_settlement:2e347c88-d60b-4798-946f-93b64faa29eb,1612857600006000000
FUNDING,BTCUSDT-PERP.BINANCE,-22.42783949 USDT,,funding_settlement:931d7b76-50ff-4c83-af28-8c47d3a27c68,1612886400007000000
FUNDING,BTCUSDT-PERP.BINANCE,-17.17401700 USDT,,funding_settlement:8deb8f05-91be-40a8-bc93-019b963de349,1612915200009000000
FUNDING,BTCUSDT-PERP.BINANCE,-24.30842259 USDT,,funding_settlement:735014e1-e374-45ea-97d5-3c3d0f8d2445,1612944000014000000
FUNDING,BTCUSDT-PERP.BINANCE,-14.80946665 USDT,,funding_settlement:5b6688ad-a2f5-45aa-a1c2-4168533c790f,1612972800005000000
FUNDING,BTCUSDT-PERP.BINANCE,-10.22566868 USDT,,funding_settlement:db805bd2-0a10-4ce2-a727-f0257af2cc4d,1613001600000000000
FUNDING,BTCUSDT-PERP.BINANCE,-11.04313517 USDT,,funding_settlement:bbe150eb-6258-4a6b-8317-3828dd9898ee,1613030400000000000
FUNDING,BTCUSDT-PERP.BINANCE,-24.86174387 USDT,,funding_settlement:2ea7a283-cfaa-4a5f-b56a-a863bf41def5,1613059200000000000
FUNDING,BTCUSDT-PERP.BINANCE,-18.38487935 USDT,,funding_settlement:c53ab326-808d-4afe-9af6-585c149783d9,1613088000000000000
FUNDING,BTCUSDT-PERP.BINANCE,-17.68305218 USDT,,funding_settlement:2b61b086-0938-493c-aa2e-0f874d48a6bc,1613116800000000000
FUNDING,BTCUSDT-PERP.BINANCE,-14.75143901 USDT,,funding_settlement:12137028-f0e4-4a63-b22f-a5885d050669,1613145600000000000
FUNDING,BTCUSDT-PERP.BINANCE,-19.70067118 USDT,,funding_settlement:58b68b1f-9cdb-4d82-9f83-d52ed2b8d2b2,1613174400001000000
FUNDING,BTCUSDT-PERP.BINANCE,-19.78567633 USDT,,funding_settlement:f23e9fe0-f4b9-4355-bc51-be45c3f69a69,1613203200003000000
FUNDING,BTCUSDT-PERP.BINANCE,-10.63068805 USDT,,funding_settlement:e265a3f3-014e-4f11-b796-486d252c4af7,1613232000000000000
FUNDING,BTCUSDT-PERP.BINANCE,-11.92783241 USDT,,funding_settlement:01b15370-e5ab-4787-8293-d0a736944f52,1613260800013000000
FUNDING,BTCUSDT-PERP.BINANCE,-21.19869393 USDT,,funding_settlement:1f993113-4595-4377-b41e-c23a6185f1d7,1613289600000000000
FUNDING,BTCUSDT-PERP.BINANCE,-21.59736845 USDT,,funding_settlement:5beb2022-44cf-4d22-8923-8fb57bc861b5,1613318400008000000
FUNDING,BTCUSDT-PERP.BINANCE,-17.03744810 USDT,,funding_settlement:b091e0f2-7845-485f-a9cb-04b875d1a2e3,1613347200000000000
FUNDING,BTCUSDT-PERP.BINANCE,-5.55093201 USDT,,funding_settlement:e19ffec4-40f4-4367-895b-c2b8c6ad68ae,1613376000006000000
FUNDING,BTCUSDT-PERP.BINANCE,-9.45044296 USDT,,funding_settlement:dfaac6a9-cba5-4d88-b544-2c82004d89df,1613404800000000000
FUNDING,BTCUSDT-PERP.BINANCE,-13.81087601 USDT,,funding_settlement:e97cab6b-ab66-460e-a874-5b4080722867,1613433600001000000
FUNDING,BTCUSDT-PERP.BINANCE,-17.57332833 USDT,,funding_settlement:56066d38-14d3-465f-b6a5-92591719a834,1613462400000000000
FUNDING,BTCUSDT-PERP.BINANCE,-20.09681071 USDT,,funding_settlement:ac807754-1afe-45ec-95a5-878ec4418a81,1613491200010000000
FUNDING,BTCUSDT-PERP.BINANCE,-14.80348074 USDT,,funding_settlement:959378fa-c423-40ff-b46a-07f271f5860f,1613520000005000000
FUNDING,BTCUSDT-PERP.BINANCE,-13.81961629 USDT,,funding_settlement:b3725307-283b-4232-919b-4acb61f29c6f,1613548800010000000
FUNDING,BTCUSDT-PERP.BINANCE,-21.77685191 USDT,,funding_settlement:3dc98a9d-aaa1-4554-9d25-dafce09006c2,1613577600008000000
FUNDING,BTCUSDT-PERP.BINANCE,-19.94875959 USDT,,funding_settlement:92575885-e7dc-4ba3-a8da-ae1e1e7a9bc2,1613606400012000000
FUNDING,BTCUSDT-PERP.BINANCE,-23.19510307 USDT,,funding_settlement:4306968c-2aa3-4417-a2be-8e31a7885300,1613635200000000000
FUNDING,BTCUSDT-PERP.BINANCE,-18.78713552 USDT,,funding_settlement:f4713cf5-1e2a-4161-b147-19fd7d4b2fa0,1613664000009000000
FUNDING,BTCUSDT-PERP.BINANCE,-13.61099272 USDT,,funding_settlement:a0c2f470-dcdd-4e41-aa5f-8f5a3ba22808,1613692800010000000
FUNDING,BTCUSDT-PERP.BINANCE,-12.66061949 USDT,,funding_settlement:ee8c9303-6187-4b34-9b81-114d8551402b,1613721600002000000
FUNDING,BTCUSDT-PERP.BINANCE,-20.07557259 USDT,,funding_settlement:444aa516-bb6e-4a37-89f4-0b48d9154a85,1613750400008000000
FUNDING,BTCUSDT-PERP.BINANCE,-25.29082990 USDT,,funding_settlement:85110b22-2c21-43b2-9a07-982b45cff4f7,1613779200000000000
FUNDING,BTCUSDT-PERP.BINANCE,-18.61365918 USDT,,funding_settlement:7e5d1164-c73f-41b4-89bb-e30f0b0304ac,1613808000009000000
FUNDING,BTCUSDT-PERP.BINANCE,-19.90099723 USDT,,funding_settlement:69cb1870-446e-4525-8507-e4af9ada347c,1613836800000000000
FUNDING,BTCUSDT-PERP.BINANCE,-16.22337147 USDT,,funding_settlement:6859c65d-4377-484c-a9d2-0ec6e85a2a57,1613865600007000000
FUNDING,BTCUSDT-PERP.BINANCE,-16.06694951 USDT,,funding_settlement:1c3eb091-562f-47ab-8f82-1d3f216e325e,1613894400012000000
FUNDING,BTCUSDT-PERP.BINANCE,-20.86809028 USDT,,funding_settlement:0b7cc44a-91f8-4e23-b229-f5c70e6f487e,1613923200001000000
FUNDING,BTCUSDT-PERP.BINANCE,-19.44046943 USDT,,funding_settlement:2b963247-2ff7-4708-8253-71b1731a2feb,1613952000006000000
FUNDING,BTCUSDT-PERP.BINANCE,-14.67574263 USDT,,funding_settlement:649b3a6b-c6b4-4952-ae47-7b064dd928e4,1613980800002000000
FUNDING,BTCUSDT-PERP.BINANCE,-11.74295528 USDT,,funding_settlement:a35359a1-758d-45d6-9d96-299f0ae968c4,1614009600000000000
FUNDING,BTCUSDT-PERP.BINANCE,-3.82048810 USDT,,funding_settlement:c7e1999e-9763-420e-a47c-c2371291b84f,1614038400000000000
FUNDING,BTCUSDT-PERP.BINANCE,-4.16640109 USDT,,funding_settlement:0defdffc-1c3f-4745-a756-c1fb252a1e08,1614067200006000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.82727647 USDT,,funding_settlement:2121af9c-32b6-4ac3-82b4-d82380b1a219,1614096000000000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.38483377 USDT,,funding_settlement:70c081b4-d98b-468c-8440-4272dc077c40,1614124800012000000
FUNDING,BTCUSDT-PERP.BINANCE,-7.34704070 USDT,,funding_settlement:89731ca5-ed13-43e1-a4cb-bbc6843a9fed,1614153600016000000
FUNDING,BTCUSDT-PERP.BINANCE,-5.26076588 USDT,,funding_settlement:64513ffb-1db2-41cb-b758-c22bf2d40e9f,1614182400011000000
FUNDING,BTCUSDT-PERP.BINANCE,-2.49062767 USDT,,funding_settlement:7f214ec9-f499-49ef-8fa2-14dfb63f28bc,1614211200007000000
FUNDING,BTCUSDT-PERP.BINANCE,-2.60346280 USDT,,funding_settlement:2ce0fe89-93c2-4451-b53f-9e7be00b6588,1614240000000000000
FUNDING,BTCUSDT-PERP.BINANCE,-4.90195656 USDT,,funding_settlement:e3b74661-4026-4f69-8618-cd64d415d252,1614268800010000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.33288100 USDT,,funding_settlement:f5100841-7a9e-431a-887f-9b2716c98766,1614297600000000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.27146337 USDT,,funding_settlement:ae991bce-77aa-4eb3-a279-439a97487c2a,1614326400025000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.34746686 USDT,,funding_settlement:0b8971d1-4249-456c-99d4-08212de02d8a,1614355200010000000
FUNDING,BTCUSDT-PERP.BINANCE,-3.95400715 USDT,,funding_settlement:7b5c5dbb-7e44-4a5e-be47-3459190c3db1,1614384000001000000
FUNDING,BTCUSDT-PERP.BINANCE,-5.95309030 USDT,,funding_settlement:de5ceac8-d132-43d4-b87d-bfa7ad567a7e,1614412800000000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.32276187 USDT,,funding_settlement:b7018418-f649-434d-b257-c5bda37d6b1c,1614441600000000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.30513374 USDT,,funding_settlement:500d33c2-7790-4a97-87c4-1760277d025d,1614470400021000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.25772473 USDT,,funding_settlement:0047e07f-6acf-4a10-a0c0-23020baf211d,1614499200009000000
FUNDING,BTCUSDT-PERP.BINANCE,-4.63511721 USDT,,funding_settlement:8b344c14-9bb5-4638-bf0d-e3bdde2f963c,1614528000000000000
FUNDING,BTCUSDT-PERP.BINANCE,-2.16402786 USDT,,funding_settlement:37a1f187-faf9-4751-a470-6b4116fb9152,1614556800000000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.30095834 USDT,,funding_settlement:6f3a259f-5808-47f6-be4f-fc528a959aef,1614585600003000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.38184777 USDT,,funding_settlement:10a23466-cb7b-470b-a6c2-41f3948d487d,1614614400001000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.39321426 USDT,,funding_settlement:e644c140-4a79-42f9-825a-5329a16e9c6b,1614643200000000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.35901126 USDT,,funding_settlement:8f2c3557-e4dc-422e-b590-a9c975a1c6de,1614672000000000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.36800299 USDT,,funding_settlement:542680f9-4870-43b9-a3f4-8a2d038128de,1614700800004000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.36126704 USDT,,funding_settlement:c1172f26-5a1a-4e92-9eb6-d110377adcfa,1614729600000000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.39785514 USDT,,funding_settlement:aa49e949-b9f7-4368-acb1-537d93a446ba,1614758400016000000
FUNDING,BTCUSDT-PERP.BINANCE,-6.43154021 USDT,,funding_settlement:3ac9124a-9aaa-4c83-9fd9-ea57b2589837,1614787200000000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.41541526 USDT,,funding_settlement:3e04c130-a120-4f51-93cb-d83a50d7a131,1614816000000000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.39656512 USDT,,funding_settlement:b607eb32-97d3-4d87-938a-04ba0cbbe555,1614844800015000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.38929969 USDT,,funding_settlement:23ad3829-bd4f-4fb7-9750-3d34940548b2,1614873600001000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.35923993 USDT,,funding_settlement:64106ba3-615d-4e53-9f15-52afe9baff07,1614902400000000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.33284593 USDT,,funding_settlement:d7d8fbbb-cf96-4f70-9504-432d8353bd17,1614931200002000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.34610437 USDT,,funding_settlement:a10dd263-227d-47c0-9f20-e8a37a9fd698,1614960000008000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.37057638 USDT,,funding_settlement:ad7790a3-2e37-4f01-8433-7cf89b140c43,1614988800000000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.37244587 USDT,,funding_settlement:52d9afdc-f784-42ae-a298-f87208363a84,1615017600000000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.32820818 USDT,,funding_settlement:ba3b330d-dcf3-4aee-9848-550e81607dca,1615046400000000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.37334676 USDT,,funding_settlement:f83f6fd2-8c01-4c6d-b232-d88cdd288562,1615075200006000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.40715054 USDT,,funding_settlement:6be99fbd-98c0-40f6-a680-794b9af44f6e,1615104000005000000
FUNDING,BTCUSDT-PERP.BINANCE,-2.50270534 USDT,,funding_settlement:4e3e5fab-f7d8-4c77-97b6-e111121d8704,1615132800008000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.43231432 USDT,,funding_settlement:b8b9463c-c44a-4d03-8d2d-981ed4788aeb,1615161600000000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.39424479 USDT,,funding_settlement:53787db7-ced8-40a1-b4e1-a70cfa95354b,1615190400000000000
FUNDING,BTCUSDT-PERP.BINANCE,-3.53924844 USDT,,funding_settlement:bc5ded27-b949-4ed2-a993-549fbe13dcf7,1615219200006000000
FUNDING,BTCUSDT-PERP.BINANCE,-10.62856613 USDT,,funding_settlement:9708e3cc-a37b-437b-95c9-d83aacd015f8,1615248000000000000
FUNDING,BTCUSDT-PERP.BINANCE,-6.29717332 USDT,,funding_settlement:93e9b6b7-58c9-44ca-80a2-3aa6ea83f4c3,1615276800000000000
FUNDING,BTCUSDT-PERP.BINANCE,-8.64571573 USDT,,funding_settlement:8be14bbd-ab16-449a-aa95-bce781ec0eef,1615305600000000000
FUNDING,BTCUSDT-PERP.BINANCE,-3.74361632 USDT,,funding_settlement:d07dd359-36bf-455f-8dbd-af7db107920d,1615334400009000000
FUNDING,BTCUSDT-PERP.BINANCE,-7.37361057 USDT,,funding_settlement:0621e1b2-7b9f-4411-8165-582b42609c46,1615363200006000000
FUNDING,BTCUSDT-PERP.BINANCE,-8.98638401 USDT,,funding_settlement:d9079d7d-bfb1-4a54-9d7a-f7ef4ec8391f,1615392000008000000
FUNDING,BTCUSDT-PERP.BINANCE,-15.02235986 USDT,,funding_settlement:b0c0adf2-ff32-48d0-a7f1-176540a107cd,1615420800000000000
FUNDING,BTCUSDT-PERP.BINANCE,-15.32280797 USDT,,funding_settlement:9a5597fd-3056-46c2-9b5a-e49c9a0391e3,1615449600000000000
FUNDING,BTCUSDT-PERP.BINANCE,-13.49615686 USDT,,funding_settlement:59f5eda8-6ba7-4253-aed9-54448bca9d04,1615478400014000000
FUNDING,BTCUSDT-PERP.BINANCE,-16.52513716 USDT,,funding_settlement:a417bd5f-143c-44f9-b3db-73fbd6277f40,1615507200002000000
FUNDING,BTCUSDT-PERP.BINANCE,-10.66950561 USDT,,funding_settlement:d33f87a7-68f7-4f7a-95dd-df330c6fb2a1,1615536000005000000
FUNDING,BTCUSDT-PERP.BINANCE,-8.17384196 USDT,,funding_settlement:448fbf9a-8bc9-499f-9d23-9777f8bcbec1,1615564800011000000
FUNDING,BTCUSDT-PERP.BINANCE,-7.67678228 USDT,,funding_settlement:1e0f98b1-50b7-40df-9e5f-a805ab8f9b6a,1615593600000000000
FUNDING,BTCUSDT-PERP.BINANCE,-9.73221179 USDT,,funding_settlement:db337688-76fe-439d-9574-540c5b9a9a31,1615622400002000000
FUNDING,BTCUSDT-PERP.BINANCE,-9.55111526 USDT,,funding_settlement:6cf97235-9210-4cc3-a8ad-53df8357e7e0,1615651200000000000
FUNDING,BTCUSDT-PERP.BINANCE,-14.03258324 USDT,,funding_settlement:87368b02-3a8e-4b2b-9a7f-c87aafaefa4f,1615680000011000000
FUNDING,BTCUSDT-PERP.BINANCE,-14.35193063 USDT,,funding_settlement:38b48f80-720c-42f9-86f9-eab3acbe691c,1615708800000000000
FUNDING,BTCUSDT-PERP.BINANCE,-19.25604730 USDT,,funding_settlement:43352a5a-a8f2-4766-871f-33104dfa86d7,1615737600000000000
