row_type,event_index,ts_event,instrument_id,position_id,side,signed_qty,quantity,avg_px_open,realized_pnl
FINAL_NATIVE_POSITION,0,1627257660000000000,BTCUSDT.BINANCE,BTCUSDT.BINANCE-DataActor-140733612267264,LONG,0.110397,0.110397,35325.990000000005,-3.89988332 USDT
PositionOpened,0,1612742460000000000,BTCUSDT.BINANCE,BTCUSDT.BINANCE-DataActor-140733612267264,LONG,0.053066,0.053066,38828.93,-2.06049600 USDT
PositionChanged,1,1613347260000000000,BTCUSDT.BINANCE,BTCUSDT.BINANCE-DataActor-140733612267264,LONG,0.041017,0.041017,38828.93,115.40681125 USDT
PositionChanged,2,1613952060000000000,BTCUSDT.BINANCE,BTCUSDT.BINANCE-DataActor-140733612267264,LONG,0.041780,0.041780,39169.22343441839,115.36296732 USDT
PositionChanged,3,1614556860000000000,BTCUSDT.BINANCE,BTCUSDT.BINANCE-DataActor-140733612267264,LONG,0.046777,0.046777,39819.95687709772,115.13679935 USDT
PositionChanged,4,1615161660000000000,BTCUSDT.BINANCE,BTCUSDT.BINANCE-DataActor-140733612267264,LONG,0.040890,0.040890,39819.95687709772,179.86258413 USDT
PositionChanged,5,1615766460000000000,BTCUSDT.BINANCE,BTCUSDT.BINANCE-DataActor-140733612267264,LONG,0.044832,0.044832,41527.55044665698,179.62905903 USDT
PositionClosed,6,1616371260000000000,BTCUSDT.BINANCE,BTCUSDT.BINANCE-DataActor-140733612267264,FLAT,0,0.000000,41527.55044665698,888.02905833 USDT
PositionOpened,7,1616976060000000000,BTCUSDT.BINANCE,BTCUSDT.BINANCE-DataActor-140733612267264,LONG,0.054464,0.054464,55824.6,-3.04043101 USDT
PositionChanged,8,1617580860000000000,BTCUSDT.BINANCE,BTCUSDT.BINANCE-DataActor-140733612267264,LONG,0.061620,0.061620,56106.24120740019,-3.45726658 USDT
PositionChanged,9,1618185660000000000,BTCUSDT.BINANCE,BTCUSDT.BINANCE-DataActor-140733612267264,LONG,0.067267,0.067267,56446.55120148066,-3.79699016 USDT
PositionClosed,10,1618790460000000000,BTCUSDT.BINANCE,BTCUSDT.BINANCE-DataActor-140733612267264,FLAT,0,0.000000,56446.55120148066,-21.82427652 USDT
PositionOpened,11,1624233660000000000,BTCUSDT.BINANCE,BTCUSDT.BINANCE-DataActor-140733612267264,LONG,0.064894,0.064894,35576.54,-2.30870399 USDT
PositionClosed,12,1624838460000000000,BTCUSDT.BINANCE,BTCUSDT.BINANCE-DataActor-140733612267264,FLAT,0,0.000000,35576.54,-69.26369590 USDT
PositionOpened,13,1627257660000000000,BTCUSDT.BINANCE,BTCUSDT.BINANCE-DataActor-140733612267264,LONG,0.110397,0.110397,35325.990000000005,-3.89988332 USDT
