adjustment_type,instrument_id,pnl_change,quantity_change,reason,ts_event
FUNDING,BTCUSDT-PERP.BINANCE,-1.18315753 USDT,,funding_settlement:3b467217-d4f2-463e-9566-6106e0f90c6d,1612771200001000000
FUNDING,BTCUSDT-PERP.BINANCE,-5.66749749 USDT,,funding_settlement:1d1b3003-d31a-43a0-ad77-c93199bd4cb7,1612800000000000000
FUNDING,BTCUSDT-PERP.BINANCE,-3.16484291 USDT,,funding_settlement:c635765a-e6da-4a0b-8d48-f9596b0376a5,1612828800010000000
FUNDING,BTCUSDT-PERP.BINANCE,-4.62040777 USDT,,funding_settlement:0fef036c-2655-42db-bbb3-6bd1b2c76058,1612857600006000000
FUNDING,BTCUSDT-PERP.BINANCE,-3.92675978 USDT,,funding_settlement:727c785b-c22d-4c54-a41e-4355eb343876,1612886400007000000
FUNDING,BTCUSDT-PERP.BINANCE,-3.00689860 USDT,,funding_settlement:a91503ac-7f24-488d-a9b3-7f7852326685,1612915200009000000
FUNDING,BTCUSDT-PERP.BINANCE,-4.25602012 USDT,,funding_settlement:228dffb0-7af9-4d69-939f-b3dc2b881d5e,1612944000014000000
FUNDING,BTCUSDT-PERP.BINANCE,-2.59290325 USDT,,funding_settlement:0a85509f-8d0c-42de-adb7-61282ce3c426,1612972800005000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.79035277 USDT,,funding_settlement:7ca4134f-1e88-4793-b89f-e23b67e78c4b,1613001600000000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.93347821 USDT,,funding_settlement:19716c18-0785-41f0-8510-89e350897986,1613030400000000000
FUNDING,BTCUSDT-PERP.BINANCE,-4.35289792 USDT,,funding_settlement:136f9d49-0437-4009-aca3-611f994e66fd,1613059200000000000
FUNDING,BTCUSDT-PERP.BINANCE,-3.21890144 USDT,,funding_settlement:e1178b2e-4847-4389-924a-2425f155a48a,1613088000000000000
FUNDING,BTCUSDT-PERP.BINANCE,-3.09602260 USDT,,funding_settlement:333e2a9b-182a-4b58-9dee-aed28d30007a,1613116800000000000
FUNDING,BTCUSDT-PERP.BINANCE,-2.58274353 USDT,,funding_settlement:d9566cdb-e353-4f7d-9691-4ad7a3f43ee3,1613145600000000000
FUNDING,BTCUSDT-PERP.BINANCE,-3.44927576 USDT,,funding_settlement:3bc8243e-a421-4f39-8b95-93f34165ae64,1613174400001000000
FUNDING,BTCUSDT-PERP.BINANCE,-3.46415882 USDT,,funding_settlement:7a2420f6-7437-41f0-ab10-6a3e4bf7973d,1613203200003000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.86126525 USDT,,funding_settlement:598e49a3-122a-4f02-86af-f0c23776a182,1613232000000000000
FUNDING,BTCUSDT-PERP.BINANCE,-2.08837470 USDT,,funding_settlement:03bc2b79-2f6c-4b13-8b1a-ee005db471d1,1613260800013000000
FUNDING,BTCUSDT-PERP.BINANCE,-3.71155584 USDT,,funding_settlement:b1a2b9ba-a5b7-455b-b1d9-b77ce102d65e,1613289600000000000
FUNDING,BTCUSDT-PERP.BINANCE,-3.78135744 USDT,,funding_settlement:b82fae9f-077a-41c0-a611-8df28090f587,1613318400008000000
FUNDING,BTCUSDT-PERP.BINANCE,-2.98298755 USDT,,funding_settlement:65f17be7-b17f-4e63-bb8b-4b004e745753,1613347200000000000
FUNDING,BTCUSDT-PERP.BINANCE,-0.76829509 USDT,,funding_settlement:3cc57cbe-94cf-471d-ad72-496a351fde7e,1613376000006000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.30801979 USDT,,funding_settlement:4d98124b-7bff-46b6-92f8-f445dbdc8117,1613404800000000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.91153993 USDT,,funding_settlement:613204c7-26e3-475a-93ec-6a4122b38b3b,1613433600001000000
FUNDING,BTCUSDT-PERP.BINANCE,-2.43229458 USDT,,funding_settlement:9075a35d-c087-4d0b-9d30-da85266a22b4,1613462400000000000
FUNDING,BTCUSDT-PERP.BINANCE,-2.78156550 USDT,,funding_settlement:fef0906a-e6c1-4e6e-b72a-9ff64934050a,1613491200010000000
FUNDING,BTCUSDT-PERP.BINANCE,-2.04892467 USDT,,funding_settlement:8362b850-a0f9-4de5-9191-e17a493f1372,1613520000005000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.91274966 USDT,,funding_settlement:add171ad-6707-4b87-bde8-c0e6cac1b79f,1613548800010000000
FUNDING,BTCUSDT-PERP.BINANCE,-3.01409715 USDT,,funding_settlement:fc67e98d-95c8-4e88-be3a-9e0beed3922f,1613577600008000000
FUNDING,BTCUSDT-PERP.BINANCE,-2.76107399 USDT,,funding_settlement:10f5090a-4c8e-4732-970a-f374288523f4,1613606400012000000
FUNDING,BTCUSDT-PERP.BINANCE,-3.21039489 USDT,,funding_settlement:7f2e9544-8733-4df3-bf72-6ae8e86b76da,1613635200000000000
FUNDING,BTCUSDT-PERP.BINANCE,-2.60029557 USDT,,funding_settlement:a0dd9ca3-51c4-42c1-a06b-c3b5d117cb59,1613664000009000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.88387443 USDT,,funding_settlement:777296d4-7a73-4660-bf61-7f70ad598456,1613692800010000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.75233488 USDT,,funding_settlement:aad42589-889b-417e-b0f4-e67cf2ec8995,1613721600002000000
FUNDING,BTCUSDT-PERP.BINANCE,-2.77862596 USDT,,funding_settlement:9dd5b79f-8bfb-4f9c-ba82-b5480112e76b,1613750400008000000
FUNDING,BTCUSDT-PERP.BINANCE,-3.50046089 USDT,,funding_settlement:a4936831-5034-4ad7-be21-99b4be25c2c6,1613779200000000000
FUNDING,BTCUSDT-PERP.BINANCE,-2.57628501 USDT,,funding_settlement:1379ba61-45e1-4acd-b3ee-36c223daad8d,1613808000009000000
FUNDING,BTCUSDT-PERP.BINANCE,-2.75446328 USDT,,funding_settlement:0913fa83-ccce-409b-ad69-2cd926c4159d,1613836800000000000
FUNDING,BTCUSDT-PERP.BINANCE,-2.24544934 USDT,,funding_settlement:6310a852-d8a5-458a-8b28-0655adaa10b7,1613865600007000000
FUNDING,BTCUSDT-PERP.BINANCE,-2.22379924 USDT,,funding_settlement:b502484d-9e94-45f5-ae06-d1068ee75d67,1613894400012000000
FUNDING,BTCUSDT-PERP.BINANCE,-2.88831699 USDT,,funding_settlement:dfb21ff4-bd54-45e4-a88b-f2a8689a4b4b,1613923200001000000
